cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002556,C0595916,AUGMENTS,Aminoglycosides,Toxic nephropathy,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0002598,C0040479,AUGMENTS,Amiodarone,Torsades de Pointes,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0005064,C0035243,AUGMENTS,Benzodiazepines,Respiratory Tract Infections,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0008269,C0276500,AUGMENTS,Chloroquine,Human immunodeficiency virus I infection,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0011816,C0004364,AUGMENTS,Dextromethorphan,Autoimmune Diseases,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0013725,C0027765,AUGMENTS,Eicosanoids,nervous system disorder,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0017718,C0016514,AUGMENTS,Glucosamine,Foot-and-Mouth Disease,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0019139,C0087086,AUGMENTS,"Heparin, Low-Molecular-Weight",Thrombus,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0020402,C0015625,AUGMENTS,hydroxyurea,Fanconi Anemia,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023779,C0033036,AUGMENTS,Lipids,Atrial Premature Complexes,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023779,C4288963,AUGMENTS,Lipids,Hepatitis C Virus Infection,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023810,C0029408,AUGMENTS,Lipopolysaccharides,Degenerative polyarthritis,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023810,C0032285,AUGMENTS,Lipopolysaccharides,Pneumonia,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023810,C0033036,AUGMENTS,Lipopolysaccharides,Atrial Premature Complexes,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023810,C1860224,AUGMENTS,Lipopolysaccharides,ABLEPHARON-MACROSTOMIA SYNDROME,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0023810,C2931826,AUGMENTS,Lipopolysaccharides,Potassium aggravated myotonia,orch,dsyn,2,AUGMENTS_ORCHaugmDSYN
C0025872,C0023885,AUGMENTS,Metronidazole,Liver Abscess,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0028959,C0042769,AUGMENTS,Oligosaccharides,Virus Diseases,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0028959,C1096155,AUGMENTS,Oligosaccharides,Macrophage Activation Syndrome,orch,dsyn,2,AUGMENTS_ORCHaugmDSYN
C0029904,C0007286,AUGMENTS,Ouabain,Carpal Tunnel Syndrome,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0032433,C0010246,AUGMENTS,Polyamines,Coxsackievirus Infections,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0036189,C0524851,AUGMENTS,Saponins,Neurodegenerative Disorders,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0036681,C0029408,AUGMENTS,Sepharose,Degenerative polyarthritis,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0038317,C0024117,AUGMENTS,Steroids,Chronic Obstructive Airway Disease,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0038317,C1373218,AUGMENTS,Steroids,Decreased Immunologic Activity [PE],orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0038323,C4288963,AUGMENTS,Sterols,Hepatitis C Virus Infection,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0039286,C0034065,AUGMENTS,Tamoxifen,Pulmonary Embolism,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0039286,C0038454,AUGMENTS,Tamoxifen,Cerebrovascular accident,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0040845,C0019196,AUGMENTS,Tretinoin,Hepatitis C,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0052919,C4505432,AUGMENTS,bafilomycin A1,XMRV Infection,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0054258,C0085568,AUGMENTS,Butocin,Buruli Ulcer,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0055046,C0019693,AUGMENTS,cellulose sulfate,HIV Infections,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0057142,C0042769,AUGMENTS,DAPI,Virus Diseases,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0067067,C2063730,AUGMENTS,myricetin,coronary Dilatations,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0068051,C2676739,AUGMENTS,N-hydroxysuccinimide,Chromosome 2q32-Q33 Deletion Syndrome,orch,dsyn,3,AUGMENTS_ORCHaugmDSYN
C0073591,C0007222,AUGMENTS,rosoxacin,Cardiovascular Diseases,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0073591,C0028754,AUGMENTS,rosoxacin,Obesity,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
C0073591,C0042769,AUGMENTS,rosoxacin,Virus Diseases,orch,dsyn,1,AUGMENTS_ORCHaugmDSYN
