cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003015,C0001925,AUGMENTS,Angiotensin-Converting Enzyme Inhibitors,Albuminuria,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0003204,C0424595,AUGMENTS,Anti-Infective Agents,Undifferentiated illness,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0003392,C0424595,AUGMENTS,Antineoplastic Agents,Undifferentiated illness,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0003451,C0033213,AUGMENTS,Antiviral Agents,Problem,phsu,fndg,2,AUGMENTS_PHSUaugmFNDG
C0003451,C0746467,AUGMENTS,Antiviral Agents,medication current,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0007974,C4055506,AUGMENTS,Chelating Agents,Accumulation,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0032414,C1545588,AUGMENTS,Poly I-C,Protection,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0032414,C4055506,AUGMENTS,Poly I-C,Accumulation,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0146196,C0043094,AUGMENTS,toltrazuril,Weight Gain,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0358516,C4289767,AUGMENTS,Medical gases,Colonization,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0599934,C1545588,AUGMENTS,"Vaccines, Peptide",Protection,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0699680,C4055062,AUGMENTS,Metric,Enhanced Pause,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0720810,C0728725,AUGMENTS,Halotestin,Low pH,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C0914671,C4321237,AUGMENTS,CPG-ODN,High Level,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C1520007,C0033213,AUGMENTS,viral vector,Problem,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C1531015,C2826596,AUGMENTS,pegaptanib,Vascular Regression,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C1874451,C0038435,AUGMENTS,Basis,Stress,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C1875384,C1836348,AUGMENTS,INVESTIGATIONAL VACCINES,Severe disorder,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C3267922,C0429706,AUGMENTS,Cystic Fibrosis Transmembrane Conductance Regulator Potentiator [EPC],Forced expiratory volume in 1 second finding,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
C3653501,C4050171,AUGMENTS,DIRECT ACTING ANTIVIRALS,Sustained Virologic Response,phsu,fndg,1,AUGMENTS_PHSUaugmFNDG
