cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002716,C0596402,CAUSES,Amyloid,cytotoxicity,aapp,comd,1,CAUSES_AAPPcausCOMD
C0002716,C0599732,CAUSES,Amyloid,cell injury,aapp,comd,1,CAUSES_AAPPcausCOMD
C0003009,C0242606,CAUSES,angiotensin II,Oxidative Stress,aapp,comd,1,CAUSES_AAPPcausCOMD
C0003241,C0282632,CAUSES,Antibodies,Antibody-Dependent Enhancement,aapp,comd,1,CAUSES_AAPPcausCOMD
C0003241,C0596402,CAUSES,Antibodies,cytotoxicity,aapp,comd,2,CAUSES_AAPPcausCOMD
C0003242,C0596402,CAUSES,"Antibodies, Anti-Idiotypic",cytotoxicity,aapp,comd,1,CAUSES_AAPPcausCOMD
C0004358,C0027746,CAUSES,Autoantibodies,Nerve Degeneration,aapp,comd,1,CAUSES_AAPPcausCOMD
C0004358,C0596402,CAUSES,Autoantibodies,cytotoxicity,aapp,comd,1,CAUSES_AAPPcausCOMD
C0005740,C0012860,CAUSES,Bleomycin,DNA Damage,aapp,comd,1,CAUSES_AAPPcausCOMD
C0005740,C1511667,CAUSES,Bleomycin,"DNA Breaks, Double-Stranded",aapp,comd,1,CAUSES_AAPPcausCOMD
C0006560,C0242606,CAUSES,C-reactive protein,Oxidative Stress,aapp,comd,1,CAUSES_AAPPcausCOMD
C0009630,C0596402,CAUSES,Concanavalin A,cytotoxicity,aapp,comd,3,CAUSES_AAPPcausCOMD
C0010682,C0596402,CAUSES,Cystine,cytotoxicity,aapp,comd,1,CAUSES_AAPPcausCOMD
C0010749,C0242606,CAUSES,Cytochromes c,Oxidative Stress,aapp,comd,1,CAUSES_AAPPcausCOMD
C0010762,C0596402,CAUSES,Cytochrome P450,cytotoxicity,aapp,comd,1,CAUSES_AAPPcausCOMD
C0011519,C0872150,CAUSES,Deoxyribonuclease I,DNA Strand Break,aapp,comd,2,CAUSES_AAPPcausCOMD
