cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002658,C0033975,CAUSES,Amphetamine,Psychotic Disorders,bacs,mobd,1,CAUSES_BACScausMOBD
C0007012,C0011581,CAUSES,Carbon Dioxide,Depressive disorder,bacs,mobd,1,CAUSES_BACScausMOBD
C0012854,C0086168,CAUSES,DNA,Dissociation,bacs,mobd,1,CAUSES_BACScausMOBD
C0018340,C0086168,CAUSES,Guanosine Diphosphate,Dissociation,bacs,mobd,1,CAUSES_BACScausMOBD
C0018353,C0086168,CAUSES,Guanosine Triphosphate,Dissociation,bacs,mobd,1,CAUSES_BACScausMOBD
C0019134,C0086168,CAUSES,heparin,Dissociation,bacs,mobd,2,CAUSES_BACScausMOBD
C0035693,C0858952,CAUSES,"RNA, Double-Stranded",silence,bacs,mobd,5,CAUSES_BACScausMOBD
C0035696,C0233494,CAUSES,"RNA, Messenger",Tension,bacs,mobd,2,CAUSES_BACScausMOBD
C0302583,C0031873,CAUSES,Iron,Pica Disease,bacs,mobd,1,CAUSES_BACScausMOBD
C0600680,C0858952,CAUSES,Untranslated Regions,silence,bacs,mobd,1,CAUSES_BACScausMOBD
C1099354,C0858952,CAUSES,"RNA, Small Interfering",silence,bacs,mobd,3,CAUSES_BACScausMOBD
C1101610,C0858952,CAUSES,MicroRNAs,silence,bacs,mobd,9,CAUSES_BACScausMOBD
C1764827,C0011581,CAUSES,Isolate - microorganism,Depressive disorder,bacs,mobd,2,CAUSES_BACScausMOBD
