cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003320,C0205160,CAUSES,Antigens,Negative,bacs,qlco,1,CAUSES_BACScausQLCO
C0006675,C0332149,CAUSES,Calcium,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C0008260,C0332572,CAUSES,Chlorophyll,Abnormal color,bacs,qlco,1,CAUSES_BACScausQLCO
C0010738,C0442797,CAUSES,Cytochalasin D,Decreasing,bacs,qlco,1,CAUSES_BACScausQLCO
C0012854,C0332149,CAUSES,DNA,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C0013982,C0332149,CAUSES,Emodin,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C0018321,C0332149,CAUSES,Guanine,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C0032136,C0332149,CAUSES,Plasmids,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C0032136,C0442797,CAUSES,Plasmids,Decreasing,bacs,qlco,1,CAUSES_BACScausQLCO
C0035696,C0332149,CAUSES,"RNA, Messenger",Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C0040549,C0184511,CAUSES,Toxin,Improved,bacs,qlco,1,CAUSES_BACScausQLCO
C0040549,C0332148,CAUSES,Toxin,Probable diagnosis,bacs,qlco,1,CAUSES_BACScausQLCO
C0522095,C0205160,CAUSES,Long chain fatty acid,Negative,bacs,qlco,1,CAUSES_BACScausQLCO
C0522095,C0332149,CAUSES,Long chain fatty acid,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
C1099354,C0442797,CAUSES,"RNA, Small Interfering",Decreasing,bacs,qlco,2,CAUSES_BACScausQLCO
C1764827,C0332149,CAUSES,Isolate - microorganism,Possible,bacs,qlco,1,CAUSES_BACScausQLCO
