cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004635,C1155266,CAUSES,bactericide,inflammatory response,chvf,patf,1,CAUSES_CHVFcausPATF
C0011740,C0036679,CAUSES,Detergents,Diastasis,chvf,patf,1,CAUSES_CHVFcausPATF
C0085403,C0013990,CAUSES,Oxidants,Pathological accumulation of air in tissues,chvf,patf,1,CAUSES_CHVFcausPATF
C0085403,C0021368,CAUSES,Oxidants,Inflammation,chvf,patf,1,CAUSES_CHVFcausPATF
C0085403,C1265824,CAUSES,Oxidants,Persistent inflammation,chvf,patf,1,CAUSES_CHVFcausPATF
C0243077,C0020517,CAUSES,inhibitors,Hypersensitivity,chvf,patf,1,CAUSES_CHVFcausPATF
C0243077,C0020564,CAUSES,inhibitors,Hypertrophy,chvf,patf,3,CAUSES_CHVFcausPATF
C0243077,C0028778,CAUSES,inhibitors,Obstruction,chvf,patf,1,CAUSES_CHVFcausPATF
C0243077,C4505076,CAUSES,inhibitors,Capillary Rarefaction,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0016059,CAUSES,Agent,Fibrosis,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0020517,CAUSES,Agent,Hypersensitivity,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0021368,CAUSES,Agent,Inflammation,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0021376,CAUSES,Agent,Chronic inflammation,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0036679,CAUSES,Agent,Diastasis,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0041582,CAUSES,Agent,Ulcer,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0151763,CAUSES,Agent,Liver damage,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0235029,CAUSES,Agent,neurological complication,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C0333641,CAUSES,Agent,Atrophic,chvf,patf,1,CAUSES_CHVFcausPATF
C0450442,C3714514,CAUSES,Agent,Infection,chvf,patf,4,CAUSES_CHVFcausPATF
C0450442,C4061114,CAUSES,Agent,Acute illness,chvf,patf,1,CAUSES_CHVFcausPATF
