cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010827,C0032285,CAUSES,"Cytopathogenic Effect, Viral",Pneumonia,comd,dsyn,1,CAUSES_COMDcausDSYN
C0010827,C0238990,CAUSES,"Cytopathogenic Effect, Viral",Acute lower respiratory tract infection,comd,dsyn,1,CAUSES_COMDcausDSYN
C0012860,C0015625,CAUSES,DNA Damage,Fanconi Anemia,comd,dsyn,1,CAUSES_COMDcausDSYN
C0012860,C0039520,CAUSES,DNA Damage,Tenosynovitis,comd,dsyn,1,CAUSES_COMDcausDSYN
C0025568,C0010674,CAUSES,Metaplasia,Cystic Fibrosis,comd,dsyn,1,CAUSES_COMDcausDSYN
C0079380,C1145670,CAUSES,Frameshift Mutation function,Respiratory Failure,comd,dsyn,1,CAUSES_COMDcausDSYN
C0235574,C0235573,CAUSES,Intravascular hemolysis,Hemoglobinemia,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0003850,CAUSES,Oxidative Stress,Arteriosclerosis,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0004096,CAUSES,Oxidative Stress,Asthma,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0007222,CAUSES,Oxidative Stress,Cardiovascular Diseases,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0014457,CAUSES,Oxidative Stress,Eosinophilia,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0018799,CAUSES,Oxidative Stress,Heart Diseases,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0019158,CAUSES,Oxidative Stress,Hepatitis,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0020538,CAUSES,Oxidative Stress,Hypertensive disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0021390,CAUSES,Oxidative Stress,Inflammatory Bowel Diseases,comd,dsyn,2,CAUSES_COMDcausDSYN
C0242606,C0024117,CAUSES,Oxidative Stress,Chronic Obstructive Airway Disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0029453,CAUSES,Oxidative Stress,Osteopenia,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0042769,CAUSES,Oxidative Stress,Virus Diseases,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0276289,CAUSES,Oxidative Stress,Zika Virus Infection,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0276442,CAUSES,Oxidative Stress,Duck viral hepatitis,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0442893,CAUSES,Oxidative Stress,Systemic disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C0857007,CAUSES,Oxidative Stress,"Hyperbilirubinemia, Neonatal",comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C1175175,CAUSES,Oxidative Stress,Severe Acute Respiratory Syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C1623038,CAUSES,Oxidative Stress,Cirrhosis,comd,dsyn,1,CAUSES_COMDcausDSYN
C0242606,C4529962,CAUSES,Oxidative Stress,Fatty Liver Disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C0282632,C0019100,CAUSES,Antibody-Dependent Enhancement,Severe Dengue,comd,dsyn,2,CAUSES_COMDcausDSYN
C0282632,C0042749,CAUSES,Antibody-Dependent Enhancement,Viremia,comd,dsyn,2,CAUSES_COMDcausDSYN
C0282632,C0376300,CAUSES,Antibody-Dependent Enhancement,Dengue Shock Syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C0544885,C0019247,CAUSES,Nonsense mutation,Hereditary Diseases,comd,dsyn,1,CAUSES_COMDcausDSYN
C0544950,C0020179,CAUSES,Cytoplasmic aggregate,Huntington Disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C0544950,C0024408,CAUSES,Cytoplasmic aggregate,Machado-Joseph Disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C0596402,C1264606,CAUSES,cytotoxicity,Persistent infection,comd,dsyn,1,CAUSES_COMDcausDSYN
C0599732,C1175175,CAUSES,cell injury,Severe Acute Respiratory Syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C0679429,C0019100,CAUSES,platelet dysfunction,Severe Dengue,comd,dsyn,1,CAUSES_COMDcausDSYN
C0679429,C0019101,CAUSES,platelet dysfunction,Hemorrhagic Fever with Renal Syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C0679429,C0376300,CAUSES,platelet dysfunction,Dengue Shock Syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C0920672,C1449809,CAUSES,virus pathogenesis,Bovine Respiratory Disease Complex,comd,dsyn,1,CAUSES_COMDcausDSYN
C0949628,C0162635,CAUSES,Uniparental Disomy,Angelman Syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C1512032,C0162359,CAUSES,Dominant-Negative Mutation,Christ-Siemens-Touraine syndrome,comd,dsyn,1,CAUSES_COMDcausDSYN
C1516373,C4288963,CAUSES,Cellular Stress,Hepatitis C Virus Infection,comd,dsyn,1,CAUSES_COMDcausDSYN
C1705285,C0276185,CAUSES,Mutation Abnormality,Camelpox,comd,dsyn,1,CAUSES_COMDcausDSYN
C1705285,C0520680,CAUSES,Mutation Abnormality,"Sleep Apnea, Central",comd,dsyn,1,CAUSES_COMDcausDSYN
C2985435,C0678236,CAUSES,Founder Mutation,Rare Diseases,comd,dsyn,1,CAUSES_COMDcausDSYN
C2985438,C0494261,CAUSES,Novel Mutation,Combined immunodeficiency,comd,dsyn,1,CAUSES_COMDcausDSYN
C3178870,C0011847,CAUSES,Endoplasmic Reticulum Stress,Diabetes,comd,dsyn,1,CAUSES_COMDcausDSYN
C3178870,C1290884,CAUSES,Endoplasmic Reticulum Stress,Inflammatory disorder,comd,dsyn,1,CAUSES_COMDcausDSYN
C4329454,C0008626,CAUSES,Biallelic Mutation,Congenital chromosomal disease,comd,dsyn,1,CAUSES_COMDcausDSYN
C4329454,C0015625,CAUSES,Biallelic Mutation,Fanconi Anemia,comd,dsyn,1,CAUSES_COMDcausDSYN
C4476796,C0028754,CAUSES,Increased reactive oxygen species production,Obesity,comd,dsyn,2,CAUSES_COMDcausDSYN
