cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003864,C0015187,CAUSES,Arthritis,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0008680,C0015187,CAUSES,Cryptogenic pulmonary eosinophilia,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0011175,C0015187,CAUSES,Dehydration,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0021390,C0015187,CAUSES,Inflammatory Bowel Diseases,Euthanasia,dsyn,acty,2,CAUSES_DSYNcausACTY
C0027765,C0015187,CAUSES,nervous system disorder,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0029408,C0015187,CAUSES,Degenerative polyarthritis,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0030305,C0015187,CAUSES,Pancreatitis,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0032285,C0015187,CAUSES,Pneumonia,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0035078,C0015187,CAUSES,Kidney Failure,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
C0035204,C0015187,CAUSES,Respiration Disorders,Euthanasia,dsyn,acty,1,CAUSES_DSYNcausACTY
