cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004896,C1264606,CAUSES,Beans (food),Persistent infection,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C0003850,CAUSES,Diet,Arteriosclerosis,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C0015695,CAUSES,Diet,Fatty Liver,food,dsyn,2,CAUSES_FOODcausDSYN
C0012155,C0020473,CAUSES,Diet,Hyperlipidemia,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C0020538,CAUSES,Diet,Hypertensive disease,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C0020550,CAUSES,Diet,Hyperthyroidism,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C0022116,CAUSES,Diet,Ischemia,food,dsyn,2,CAUSES_FOODcausDSYN
C0012155,C0028754,CAUSES,Diet,Obesity,food,dsyn,2,CAUSES_FOODcausDSYN
C0012155,C0040156,CAUSES,Diet,Thyrotoxicosis,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C2697368,CAUSES,Diet,Gastrointestinal irritation,food,dsyn,1,CAUSES_FOODcausDSYN
C0012155,C2711227,CAUSES,Diet,Steatohepatitis,food,dsyn,2,CAUSES_FOODcausDSYN
C0012155,C3241937,CAUSES,Diet,Nonalcoholic Steatohepatitis,food,dsyn,1,CAUSES_FOODcausDSYN
C0013710,C0036114,CAUSES,Egg Food Product,Salmonella food poisoning,food,dsyn,2,CAUSES_FOODcausDSYN
C0013710,C0042769,CAUSES,Egg Food Product,Virus Diseases,food,dsyn,1,CAUSES_FOODcausDSYN
C0016260,C0022658,CAUSES,Flour,Kidney Diseases,food,dsyn,1,CAUSES_FOODcausDSYN
C0016452,C0008354,CAUSES,Food,Cholera,food,dsyn,1,CAUSES_FOODcausDSYN
C0016452,C0020615,CAUSES,Food,Hypoglycemia,food,dsyn,1,CAUSES_FOODcausDSYN
C0016767,C0015674,CAUSES,Fruit,Chronic Fatigue Syndrome,food,dsyn,1,CAUSES_FOODcausDSYN
C0016767,C0016627,CAUSES,Fruit,Influenza in Birds,food,dsyn,1,CAUSES_FOODcausDSYN
C0025017,C0038012,CAUSES,Meat,Spondylitis,food,dsyn,1,CAUSES_FOODcausDSYN
C0025017,C0178238,CAUSES,Meat,Intestinal infectious disease (disorder),food,dsyn,1,CAUSES_FOODcausDSYN
C0037511,C0035304,CAUSES,Sodium Glutamate,Retinal Degeneration,food,dsyn,1,CAUSES_FOODcausDSYN
C0349966,C0751161,CAUSES,Figs - dietary,UDPglucose 4-epimerase deficiency disease,food,dsyn,1,CAUSES_FOODcausDSYN
C0349966,C1562113,CAUSES,Figs - dietary,Fleck corneal dystrophy,food,dsyn,1,CAUSES_FOODcausDSYN
C0452867,C0151317,CAUSES,Pork,Chronic infectious disease,food,dsyn,1,CAUSES_FOODcausDSYN
C0453834,C1290807,CAUSES,Contaminated food,Diarrheal disorder,food,dsyn,1,CAUSES_FOODcausDSYN
C0453860,C0001752,CAUSES,Raw Foods,African swine fever,food,dsyn,1,CAUSES_FOODcausDSYN
C0453861,C0028754,CAUSES,Rich food,Obesity,food,dsyn,1,CAUSES_FOODcausDSYN
C0458975,C0003869,CAUSES,Hominy,"Arthritis, Infectious",food,dsyn,1,CAUSES_FOODcausDSYN
C0458975,C1331543,CAUSES,Hominy,Puerperal pyrexia,food,dsyn,1,CAUSES_FOODcausDSYN
C0677521,C0013369,CAUSES,Chicken Meat,Dysentery,food,dsyn,1,CAUSES_FOODcausDSYN
C0678420,C1096155,CAUSES,Cocktail,Macrophage Activation Syndrome,food,dsyn,1,CAUSES_FOODcausDSYN
C2983588,C0342895,CAUSES,Basal Diet,Fish-Eye Disease,food,dsyn,1,CAUSES_FOODcausDSYN
