cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0017168,CAUSES,Base Sequence,Gastroesophageal reflux disease,nusq,dsyn,2,CAUSES_NUSQcausDSYN
C0079160,C1373218,CAUSES,Consensus Sequence,Decreased Immunologic Activity [PE],nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0080089,C0013570,CAUSES,Reading Frames (Nucleotide Sequence),"Ecthyma, Contagious",nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0080089,C2062441,CAUSES,Reading Frames (Nucleotide Sequence),Influenza A,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162326,C0009450,CAUSES,DNA Sequence,Communicable Diseases,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162326,C0013570,CAUSES,DNA Sequence,"Ecthyma, Contagious",nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162326,C0021400,CAUSES,DNA Sequence,Influenza,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162326,C0035235,CAUSES,DNA Sequence,Respiratory Syncytial Virus Infections,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162326,C0272285,CAUSES,DNA Sequence,Heparin-induced thrombocytopenia,nusq,dsyn,2,CAUSES_NUSQcausDSYN
C0162326,C0275522,CAUSES,DNA Sequence,Asymptomatic Infections,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162326,C1970027,CAUSES,DNA Sequence,"Hypertelorism, Severe, With Midface Prominence, Myopia, Mental Retardation, And Bone Fragility",nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0162327,C0011303,CAUSES,RNA Sequence,Demyelinating Diseases,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0752046,C0004364,CAUSES,Single Nucleotide Polymorphism,Autoimmune Diseases,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0752046,C0008312,CAUSES,Single Nucleotide Polymorphism,Primary biliary cirrhosis,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0752046,C0206750,CAUSES,Single Nucleotide Polymorphism,Coronavirus Infections,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C0752046,C0238013,CAUSES,Single Nucleotide Polymorphism,Invasive aspergillosis,nusq,dsyn,2,CAUSES_NUSQcausDSYN
C3178810,C0027868,CAUSES,Transcriptome,Neuromuscular Diseases,nusq,dsyn,1,CAUSES_NUSQcausDSYN
C3178810,C0264221,CAUSES,Transcriptome,Disorder of upper respiratory system,nusq,dsyn,1,CAUSES_NUSQcausDSYN
