cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003130,C0020456,CAUSES,Anoxia,Hyperglycemia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0003130,C0031039,CAUSES,Anoxia,Pericardial effusion,patf,dsyn,1,CAUSES_PATFcausDSYN
C0003130,C0032285,CAUSES,Anoxia,Pneumonia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0003130,C0034063,CAUSES,Anoxia,Pulmonary Edema,patf,dsyn,1,CAUSES_PATFcausDSYN
C0003130,C0242994,CAUSES,Anoxia,Hantavirus Infections,patf,dsyn,1,CAUSES_PATFcausDSYN
C0003130,C0730328,CAUSES,Anoxia,Central Serous Chorioretinopathy,patf,dsyn,1,CAUSES_PATFcausDSYN
C0006114,C0009421,CAUSES,Cerebral Edema,Comatose,patf,dsyn,1,CAUSES_PATFcausDSYN
C0006119,C0275522,CAUSES,Brain Pathology,Asymptomatic Infections,patf,dsyn,1,CAUSES_PATFcausDSYN
C0011304,C0011303,CAUSES,Demyelination,Demyelinating Diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0011304,C0026769,CAUSES,Demyelination,Multiple Sclerosis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0011304,C0029134,CAUSES,Demyelination,Optic Neuritis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0011304,C0030486,CAUSES,Demyelination,Paraplegia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0013604,C0001883,CAUSES,Edema,Airway Obstruction,patf,dsyn,1,CAUSES_PATFcausDSYN
C0013604,C0035222,CAUSES,Edema,"Respiratory Distress Syndrome, Adult",patf,dsyn,2,CAUSES_PATFcausDSYN
C0013604,C0206061,CAUSES,Edema,"Pneumonia, Interstitial",patf,dsyn,1,CAUSES_PATFcausDSYN
C0015376,C0014038,CAUSES,Extravasation,Encephalitis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0015376,C0019101,CAUSES,Extravasation,Hemorrhagic Fever with Renal Syndrome,patf,dsyn,1,CAUSES_PATFcausDSYN
C0015376,C0019104,CAUSES,Extravasation,"Hemorrhagic Fevers, Viral",patf,dsyn,1,CAUSES_PATFcausDSYN
C0015376,C0034063,CAUSES,Extravasation,Pulmonary Edema,patf,dsyn,1,CAUSES_PATFcausDSYN
C0015376,C1449647,CAUSES,Extravasation,Secondary Peritonitis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0015927,C1175175,CAUSES,Fetal Death,Severe Acute Respiratory Syndrome,patf,dsyn,1,CAUSES_PATFcausDSYN
C0015934,C0025007,CAUSES,Fetal Growth Retardation,Measles,patf,dsyn,1,CAUSES_PATFcausDSYN
C0015959,C0014761,CAUSES,Fetomaternal Transfusion,"Erythroblastosis, Fetal",patf,dsyn,1,CAUSES_PATFcausDSYN
C0016059,C0002871,CAUSES,Fibrosis,Anemia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0016059,C0023896,CAUSES,Fibrosis,Alcoholic Liver Diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0016059,C0027051,CAUSES,Fibrosis,Myocardial Infarction,patf,dsyn,1,CAUSES_PATFcausDSYN
C0016059,C0031048,CAUSES,Fibrosis,"Pericarditis, Constrictive",patf,dsyn,1,CAUSES_PATFcausDSYN
C0016059,C1145670,CAUSES,Fibrosis,Respiratory Failure,patf,dsyn,1,CAUSES_PATFcausDSYN
C0016059,C1623038,CAUSES,Fibrosis,Cirrhosis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0017181,C0002871,CAUSES,Gastrointestinal Hemorrhage,Anemia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0018188,C0008733,CAUSES,Granuloma,Chylothorax,patf,dsyn,1,CAUSES_PATFcausDSYN
C0018273,C1318706,CAUSES,Growth Disorders,Noneffusive feline infectious peritonitis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0018790,C0741923,CAUSES,Cardiac Arrest,cardiac event,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020507,C0042769,CAUSES,Hyperplasia,Virus Diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020507,C0856169,CAUSES,Hyperplasia,endothelial dysfunction,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0004031,CAUSES,Hypersensitivity,"Aspergillosis, Allergic Bronchopulmonary",patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0004096,CAUSES,Hypersensitivity,Asthma,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0004698,CAUSES,Hypersensitivity,Balkan Nephropathy,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0006266,CAUSES,Hypersensitivity,Bronchial Spasm,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0021390,CAUSES,Hypersensitivity,Inflammatory Bowel Diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0021400,CAUSES,Hypersensitivity,Influenza,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0024115,CAUSES,Hypersensitivity,Lung diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0024117,CAUSES,Hypersensitivity,Chronic Obstructive Airway Disease,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0032285,CAUSES,Hypersensitivity,Pneumonia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0032300,CAUSES,Hypersensitivity,Lobar Pneumonia,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0035243,CAUSES,Hypersensitivity,Respiratory Tract Infections,patf,dsyn,2,CAUSES_PATFcausDSYN
C0020517,C0042769,CAUSES,Hypersensitivity,Virus Diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0149725,CAUSES,Hypersensitivity,Lower respiratory tract infection,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0157749,CAUSES,Hypersensitivity,Arthropathy associated with infection,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C0275524,CAUSES,Hypersensitivity,Coinfection,patf,dsyn,2,CAUSES_PATFcausDSYN
C0020517,C1264606,CAUSES,Hypersensitivity,Persistent infection,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020517,C2062441,CAUSES,Hypersensitivity,Influenza A,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020564,C0020676,CAUSES,Hypertrophy,Hypothyroidism,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020564,C0027059,CAUSES,Hypertrophy,Myocarditis,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020564,C0520679,CAUSES,Hypertrophy,"Sleep Apnea, Obstructive",patf,dsyn,2,CAUSES_PATFcausDSYN
C0020564,C0856169,CAUSES,Hypertrophy,endothelial dysfunction,patf,dsyn,1,CAUSES_PATFcausDSYN
C0020963,C0004364,CAUSES,Immune Tolerance,Autoimmune Diseases,patf,dsyn,1,CAUSES_PATFcausDSYN
C0021308,C0018801,CAUSES,Infarction,Heart failure,patf,dsyn,1,CAUSES_PATFcausDSYN
