cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005775,C0597295,CAUSES,Blood Circulation,Protein Biosynthesis,phsf,moft,1,CAUSES_PHSFcausMOFT
C0014272,C0520913,CAUSES,Energy Metabolism,Defective metabolism,phsf,moft,1,CAUSES_PHSFcausMOFT
C0020964,C0178575,CAUSES,Immunity,cross immunity,phsf,moft,1,CAUSES_PHSFcausMOFT
C0020964,C0599474,CAUSES,Immunity,cholesterol biosynthesis,phsf,moft,1,CAUSES_PHSFcausMOFT
C0035203,C1704259,CAUSES,Respiration,Biochemical Pathway,phsf,moft,1,CAUSES_PHSFcausMOFT
C0149784,C0031715,CAUSES,biological adaptation to stress,Phosphorylation,phsf,moft,4,CAUSES_PHSFcausMOFT
C0242599,C0031715,CAUSES,Neutrophil Activation,Phosphorylation,phsf,moft,1,CAUSES_PHSFcausMOFT
C0243144,C0025246,CAUSES,Uptake,Membrane Fusion,phsf,moft,1,CAUSES_PHSFcausMOFT
C0243144,C1325936,CAUSES,Uptake,receptor clustering,phsf,moft,1,CAUSES_PHSFcausMOFT
C0442687,C1514216,CAUSES,Physiological action,Polyubiquitination,phsf,moft,1,CAUSES_PHSFcausMOFT
C0442687,C3824143,CAUSES,Physiological action,proteasome complex disassembly,phsf,moft,1,CAUSES_PHSFcausMOFT
C0597170,C1155494,CAUSES,paracrine,intracellular signal transduction,phsf,moft,1,CAUSES_PHSFcausMOFT
C0597170,C1518440,CAUSES,paracrine,Nuclear Translocation,phsf,moft,1,CAUSES_PHSFcausMOFT
C1135927,C2717886,CAUSES,"Immunity, Herd",Cross Protection,phsf,moft,1,CAUSES_PHSFcausMOFT
C1268869,C0010357,CAUSES,Antigen-antibody interaction,Cross Reactions,phsf,moft,1,CAUSES_PHSFcausMOFT
C1514892,C1150587,CAUSES,Resistance Process,JUN kinase activity,phsf,moft,1,CAUSES_PHSFcausMOFT
C1516004,C0031715,CAUSES,Regulation of Antibody Titer Process,Phosphorylation,phsf,moft,1,CAUSES_PHSFcausMOFT
C3714584,C1150095,CAUSES,"Transformation, function",peptidase activity,phsf,moft,1,CAUSES_PHSFcausMOFT
C4520800,C0025246,CAUSES,Hydration,Membrane Fusion,phsf,moft,1,CAUSES_PHSFcausMOFT
