cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001753,C3178870,CAUSES,African Swine Fever Virus,Endoplasmic Reticulum Stress,virs,comd,1,CAUSES_VIRScausCOMD
C0004651,C0012860,CAUSES,Bacteriophages,DNA Damage,virs,comd,1,CAUSES_VIRScausCOMD
C0008056,C0599732,CAUSES,Chikungunya virus,cell injury,virs,comd,1,CAUSES_VIRScausCOMD
C0010825,C0333902,CAUSES,Cytomegalovirus,Karyomegaly,virs,comd,1,CAUSES_VIRScausCOMD
C0012923,C1257806,CAUSES,DNA Viruses,Chromosomal Instability,virs,comd,1,CAUSES_VIRScausCOMD
C0014047,C0596402,CAUSES,Japanese encephalitis virus,cytotoxicity,virs,comd,1,CAUSES_VIRScausCOMD
C0014047,C3178870,CAUSES,Japanese encephalitis virus,Endoplasmic Reticulum Stress,virs,comd,2,CAUSES_VIRScausCOMD
C0014383,C0596402,CAUSES,Enterovirus,cytotoxicity,virs,comd,1,CAUSES_VIRScausCOMD
C0014644,C0919532,CAUSES,Epstein-Barr Virus,Genomic Instability,virs,comd,2,CAUSES_VIRScausCOMD
C0014644,C1298629,CAUSES,Epstein-Barr Virus,Epithelial cell abnormality,virs,comd,1,CAUSES_VIRScausCOMD
C0016215,C0027746,CAUSES,Flavivirus,Nerve Degeneration,virs,comd,2,CAUSES_VIRScausCOMD
C0016215,C0282632,CAUSES,Flavivirus,Antibody-Dependent Enhancement,virs,comd,1,CAUSES_VIRScausCOMD
C0016215,C0541642,CAUSES,Flavivirus,Membrane Alteration,virs,comd,1,CAUSES_VIRScausCOMD
C0019169,C0596402,CAUSES,Hepatitis B Virus,cytotoxicity,virs,comd,1,CAUSES_VIRScausCOMD
C0019369,C0242606,CAUSES,Herpesviridae,Oxidative Stress,virs,comd,1,CAUSES_VIRScausCOMD
C0019378,C3178870,CAUSES,"Herpesvirus 1, Cercopithecine",Endoplasmic Reticulum Stress,virs,comd,1,CAUSES_VIRScausCOMD
C0019381,C0242606,CAUSES,"Herpesvirus 6, Human",Oxidative Stress,virs,comd,1,CAUSES_VIRScausCOMD
C0019682,C1860127,CAUSES,HIV,Impaired T cell function,virs,comd,1,CAUSES_VIRScausCOMD
C0019704,C0027746,CAUSES,HIV-1,Nerve Degeneration,virs,comd,1,CAUSES_VIRScausCOMD
C0019842,C3178870,CAUSES,Classical swine fever virus,Endoplasmic Reticulum Stress,virs,comd,4,CAUSES_VIRScausCOMD
C0021338,C0242606,CAUSES,Infectious bursal disease virus,Oxidative Stress,virs,comd,1,CAUSES_VIRScausCOMD
