cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001483,C0683201,CAUSES,Adenoviruses,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C0006069,C0678860,CAUSES,"Leukemia Virus, Bovine",systemic blood circulation,virs,ortf,1,CAUSES_VIRScausORTF
C0010233,C0036104,CAUSES,Cowpox virus,secretion of saliva,virs,ortf,1,CAUSES_VIRScausORTF
C0011315,C0162337,CAUSES,Dengue Virus,Vascular Permeability,virs,ortf,1,CAUSES_VIRScausORTF
C0019682,C0036658,CAUSES,HIV,Esthesia,virs,ortf,1,CAUSES_VIRScausORTF
C0019704,C0036658,CAUSES,HIV-1,Esthesia,virs,ortf,1,CAUSES_VIRScausORTF
C0027984,C0282558,CAUSES,Newcastle disease virus,"Immunity, Mucosal",virs,ortf,1,CAUSES_VIRScausORTF
C0027984,C0683201,CAUSES,Newcastle disease virus,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C0028586,C0036658,CAUSES,Nucleopolyhedrovirus,Esthesia,virs,ortf,1,CAUSES_VIRScausORTF
C0029341,C0036658,CAUSES,Orthomyxoviridae,Esthesia,virs,ortf,1,CAUSES_VIRScausORTF
C0042776,C0021055,CAUSES,Virus,Immunologic Memory,virs,ortf,1,CAUSES_VIRScausORTF
C0042776,C0032173,CAUSES,Virus,Platelet Activation,virs,ortf,1,CAUSES_VIRScausORTF
C0042776,C0683201,CAUSES,Virus,specific immunity,virs,ortf,3,CAUSES_VIRScausORTF
C0042776,C1155937,CAUSES,Virus,smooth muscle contraction,virs,ortf,1,CAUSES_VIRScausORTF
C0042776,C1817756,CAUSES,Virus,Immune System Processes,virs,ortf,1,CAUSES_VIRScausORTF
C0042776,C3850148,CAUSES,Virus,Vascular Remodeling,virs,ortf,1,CAUSES_VIRScausORTF
C0079005,C0683201,CAUSES,Baculoviridae,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C0220847,C0683201,CAUSES,Hepatitis C virus,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C0318793,C0599855,CAUSES,Zika Virus,neurodevelopment,virs,ortf,1,CAUSES_VIRScausORTF
C0318855,C0020965,CAUSES,Porcine epidemic diarrhea virus,Active immunity,virs,ortf,1,CAUSES_VIRScausORTF
C0318855,C0282558,CAUSES,Porcine epidemic diarrhea virus,"Immunity, Mucosal",virs,ortf,2,CAUSES_VIRScausORTF
C0376536,C0036658,CAUSES,Porcine respiratory and reproductive syndrome virus,Esthesia,virs,ortf,1,CAUSES_VIRScausORTF
C0376536,C0282558,CAUSES,Porcine respiratory and reproductive syndrome virus,"Immunity, Mucosal",virs,ortf,3,CAUSES_VIRScausORTF
C0597404,C0242104,CAUSES,Respiratory viruses,Sputum production,virs,ortf,1,CAUSES_VIRScausORTF
C0597404,C0282557,CAUSES,Respiratory viruses,"Immune Response, Mucosal",virs,ortf,2,CAUSES_VIRScausORTF
C0597404,C0683201,CAUSES,Respiratory viruses,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C0949892,C0162337,CAUSES,Ebolavirus,Vascular Permeability,virs,ortf,1,CAUSES_VIRScausORTF
C0949920,C0311432,CAUSES,Norovirus,Bioaccumulation,virs,ortf,1,CAUSES_VIRScausORTF
C1175743,C0282558,CAUSES,SARS coronavirus,"Immunity, Mucosal",virs,ortf,1,CAUSES_VIRScausORTF
C1175743,C0683201,CAUSES,SARS coronavirus,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C1615607,C0683201,CAUSES,"Influenza A Virus, H1N1 Subtype",specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
C1831828,C1516031,CAUSES,TALIMOGENE LAHERPAREPVEC,Antitumor Response,virs,ortf,1,CAUSES_VIRScausORTF
C3698360,C0282558,CAUSES,Middle East Respiratory Syndrome Coronavirus,"Immunity, Mucosal",virs,ortf,1,CAUSES_VIRScausORTF
C3698360,C0683201,CAUSES,Middle East Respiratory Syndrome Coronavirus,specific immunity,virs,ortf,1,CAUSES_VIRScausORTF
