cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004120,C0011991,CAUSES,Astrovirus,Diarrhea,virs,sosy,1,CAUSES_VIRScausSOSY
C0004419,C0476273,CAUSES,Infectious bronchitis virus,Respiratory distress,virs,sosy,1,CAUSES_VIRScausSOSY
C0035924,C0003862,CAUSES,Rubella virus,Arthralgia,virs,sosy,1,CAUSES_VIRScausSOSY
C0042338,C1274925,CAUSES,Human herpesvirus 3,Skin-ache syndrome,virs,sosy,1,CAUSES_VIRScausSOSY
C0042776,C0011991,CAUSES,Virus,Diarrhea,virs,sosy,1,CAUSES_VIRScausSOSY
C0042776,C0042963,CAUSES,Virus,Vomiting,virs,sosy,1,CAUSES_VIRScausSOSY
C0318856,C0239182,CAUSES,Porcine Respiratory Coronavirus,Watery diarrhea,virs,sosy,1,CAUSES_VIRScausSOSY
C0376536,C0003123,CAUSES,Porcine respiratory and reproductive syndrome virus,Anorexia,virs,sosy,1,CAUSES_VIRScausSOSY
C0599566,C0011991,CAUSES,expression vector,Diarrhea,virs,sosy,1,CAUSES_VIRScausSOSY
C2986384,C0349506,CAUSES,Enveloped Virus,Photosensitivity of skin,virs,sosy,1,CAUSES_VIRScausSOSY
