cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002199,C0054036,COEXISTS_WITH,Interferon-alpha,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0002520,C0614427,COEXISTS_WITH,Amino Acids,NS 5,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0002712,C0041385,COEXISTS_WITH,Amylases,Tunicamycin,aapp,antb,4,COEXISTS_WITH_AAPPcxwtANTB
C0003250,C0002680,COEXISTS_WITH,Monoclonal Antibodies,Ampicillin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0003250,C0054036,COEXISTS_WITH,Monoclonal Antibodies,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0005740,C0003236,COEXISTS_WITH,Bleomycin,"Antibiotics, Antineoplastic",aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0008546,C0030827,COEXISTS_WITH,Chromatin,Penicillin G,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0010592,C0279516,COEXISTS_WITH,Cyclosporine,Anti-Bacterial Agents,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0014241,C0310367,COEXISTS_WITH,Endoribonucleases,Today,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0016194,C0003232,COEXISTS_WITH,Flagellin,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0016964,C0054036,COEXISTS_WITH,Galactosyltransferases,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0017278,C0039644,COEXISTS_WITH,"Gene Products, env",Tetracycline,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0017360,C0013089,COEXISTS_WITH,pol genes,Doxorubicin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0017797,C0027603,COEXISTS_WITH,Glutamine,Neomycin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0017797,C0030827,COEXISTS_WITH,Glutamine,Penicillin G,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0017797,C0038425,COEXISTS_WITH,Glutamine,Streptomycin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0021701,C0010572,COEXISTS_WITH,Integrins,Cycloheximide,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0021756,C0072980,COEXISTS_WITH,Interleukin-2,Sirolimus,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0022009,C0614427,COEXISTS_WITH,Ion Channel,NS 5,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0022942,C0003232,COEXISTS_WITH,Lactoferrin,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0026794,C0003232,COEXISTS_WITH,Muramidase,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0027752,C0028741,COEXISTS_WITH,Nerve Growth Factor,Nystatin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0030346,C0279516,COEXISTS_WITH,Papain,Anti-Bacterial Agents,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0031858,C0054036,COEXISTS_WITH,Phytohemagglutinins,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0035685,C0614427,COEXISTS_WITH,RNA-Directed RNA Polymerase,NS 5,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0037039,C0010572,COEXISTS_WITH,Sialyltransferases,Cycloheximide,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0056889,C0010572,COEXISTS_WITH,Cystic Fibrosis Transmembrane Conductance Regulator,Cycloheximide,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0056889,C0125179,COEXISTS_WITH,Cystic Fibrosis Transmembrane Conductance Regulator,lactacystin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0057256,C0003232,COEXISTS_WITH,Defensins,Antibiotics,aapp,antb,2,COEXISTS_WITH_AAPPcxwtANTB
C0065827,C0007557,COEXISTS_WITH,Measles Virus Nucleoprotein,Cefoxitin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0072027,C0003232,COEXISTS_WITH,procalcitonin,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0072027,C0006968,COEXISTS_WITH,procalcitonin,Carbapenems,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0085379,C0054036,COEXISTS_WITH,Muromonab-CD3,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0086376,C0010572,COEXISTS_WITH,GTP-Binding Proteins,Cycloheximide,aapp,antb,2,COEXISTS_WITH_AAPPcxwtANTB
C0086376,C0054036,COEXISTS_WITH,GTP-Binding Proteins,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0120285,C0035608,COEXISTS_WITH,Green Fluorescent Proteins,Rifampin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0134983,C0310367,COEXISTS_WITH,intestinal alkaline phosphatase,Today,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0140512,C0054036,COEXISTS_WITH,ribophorin I,Brefeldin A,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0162768,C0039644,COEXISTS_WITH,Fusion protein,Tetracycline,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0174234,C0003232,COEXISTS_WITH,PTX3 protein,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0249989,C0072980,COEXISTS_WITH,FLT3 ligand,Sirolimus,aapp,antb,4,COEXISTS_WITH_AAPPcxwtANTB
C0311461,C0027603,COEXISTS_WITH,Nonessential amino acid,Neomycin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0385333,C0039644,COEXISTS_WITH,Cyclin B1,Tetracycline,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0537784,C0010572,COEXISTS_WITH,cathepsin W,Cycloheximide,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0537894,C0085795,COEXISTS_WITH,Caspofungin,Amphotericin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0537894,C1145701,COEXISTS_WITH,Caspofungin,amphotericin B liposomal,aapp,antb,2,COEXISTS_WITH_AAPPcxwtANTB
C0599561,C0039644,COEXISTS_WITH,e protein,Tetracycline,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0671062,C0003232,COEXISTS_WITH,cathelicidin,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0676272,C0039644,COEXISTS_WITH,"GMNN protein, human",Tetracycline,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0751455,C0279516,COEXISTS_WITH,"Gene Products, Protein",Anti-Bacterial Agents,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0887910,C0035608,COEXISTS_WITH,Virosomes,Rifampin,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C0913092,C0003232,COEXISTS_WITH,DC-specific ICAM-3 grabbing nonintegrin,Antibiotics,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
C1136317,C0614427,COEXISTS_WITH,Eukaryotic Initiation Factors,NS 5,aapp,antb,1,COEXISTS_WITH_AAPPcxwtANTB
