cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002520,C0033727,COEXISTS_WITH,Amino Acids,Protons,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0002520,C2346661,COEXISTS_WITH,Amino Acids,Pb2+,aapp,elii,4,COEXISTS_WITH_AAPPcxwtELII
C0002570,C2349970,COEXISTS_WITH,Aminopeptidase,S4+,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0011744,COEXISTS_WITH,Antibodies,Deuterium,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0260055,COEXISTS_WITH,Antibodies,Liquid nitrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003241,C0596235,COEXISTS_WITH,Antibodies,Calcium ion,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0003250,C0022023,COEXISTS_WITH,Monoclonal Antibodies,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003250,C0025424,COEXISTS_WITH,Monoclonal Antibodies,Mercury,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003250,C0567415,COEXISTS_WITH,Monoclonal Antibodies,Atom (substance),aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0003995,C2346661,COEXISTS_WITH,Asparagine,Pb2+,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0007367,C0038836,COEXISTS_WITH,CATALASE,Superoxides,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0009316,C0003075,COEXISTS_WITH,Colistin,Anions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0012888,C2346927,COEXISTS_WITH,DNA Polymerase I,Magnesium Cation,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0015505,C0596235,COEXISTS_WITH,Factor VIIa,Calcium ion,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0015518,C0022023,COEXISTS_WITH,factor X,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017237,C0260055,COEXISTS_WITH,Gelatin,Liquid nitrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017360,C0022023,COEXISTS_WITH,pol genes,Ions,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0017360,C2346927,COEXISTS_WITH,pol genes,Magnesium Cation,aapp,elii,14,COEXISTS_WITH_AAPPcxwtELII
C0017824,C0567415,COEXISTS_WITH,Glutathione Reductase,Atom (substance),aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0019046,C0260055,COEXISTS_WITH,Hemoglobin,Liquid nitrogen,aapp,elii,2,COEXISTS_WITH_AAPPcxwtELII
C0019602,C0020275,COEXISTS_WITH,Histidine,Hydrogen,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0020846,C0347988,COEXISTS_WITH,Immunoglobulin E,"Metals, Heavy",aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
C0021756,C2347816,COEXISTS_WITH,Interleukin-2,cobaltous cation,aapp,elii,1,COEXISTS_WITH_AAPPcxwtELII
