cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002199,C0017429,COEXISTS_WITH,Interferon-alpha,"Genome, Human",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C0017356,COEXISTS_WITH,Amino Acids,"Genes, nef",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C0017429,COEXISTS_WITH,Amino Acids,"Genome, Human",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C0042720,COEXISTS_WITH,Amino Acids,Viral Genome,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C0079941,COEXISTS_WITH,Amino Acids,Open Reading Frames,aapp,gngm,6,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C1334043,COEXISTS_WITH,Amino Acids,Homologous Gene,aapp,gngm,3,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C1414057,COEXISTS_WITH,Amino Acids,DKK1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0002520,C1428769,COEXISTS_WITH,Amino Acids,FCHO1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003241,C0017350,COEXISTS_WITH,Antibodies,"Genes, Immunoglobulin",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003241,C0440471,COEXISTS_WITH,Antibodies,Genetic Materials,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003241,C1412284,COEXISTS_WITH,Antibodies,AGPS gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003242,C0079941,COEXISTS_WITH,"Antibodies, Anti-Idiotypic",Open Reading Frames,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003250,C1424298,COEXISTS_WITH,Monoclonal Antibodies,FARP2 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003250,C1837441,COEXISTS_WITH,Monoclonal Antibodies,TPPP gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003313,C1422271,COEXISTS_WITH,Immune complex,BAG6 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003765,C1540309,COEXISTS_WITH,Arginine,MRO gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0003995,C0079941,COEXISTS_WITH,Asparagine,Open Reading Frames,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0004627,C0029073,COEXISTS_WITH,Bacterial Proteins,Operon,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0009498,C0599770,COEXISTS_WITH,Complement System Proteins,genetic element,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0009498,C1334043,COEXISTS_WITH,Complement System Proteins,Homologous Gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010590,C0042713,COEXISTS_WITH,Cycloserine,Viral Envelope Proteins E2,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010590,C2240205,COEXISTS_WITH,Cycloserine,BATF3 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010654,C1334043,COEXISTS_WITH,Cysteine,Homologous Gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010654,C1417664,COEXISTS_WITH,Cysteine,NEDD9 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010723,C0042720,COEXISTS_WITH,Cytidine Deaminase,Viral Genome,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0010744,C1334043,COEXISTS_WITH,Cytochromes b,Homologous Gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0011519,C1826843,COEXISTS_WITH,Deoxyribonuclease I,RNH1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0012906,C1334435,COEXISTS_WITH,DNA Restriction Enzymes,Luc Gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0012906,C1367597,COEXISTS_WITH,DNA Restriction Enzymes,AFP gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0013729,C0017376,COEXISTS_WITH,Eukaryotic Initiation Factor-2,"Genes, Viral",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0015528,C0042720,COEXISTS_WITH,factor XIII,Viral Genome,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0016787,C0079941,COEXISTS_WITH,Fucosidase,Open Reading Frames,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0017278,C1420126,COEXISTS_WITH,"Gene Products, env",SLC20A2 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0017360,C0079941,COEXISTS_WITH,pol genes,Open Reading Frames,aapp,gngm,4,COEXISTS_WITH_AAPPcxwtGNGM
C0017789,C1335072,COEXISTS_WITH,Glutamates,"NUMA1 protein, human",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0017797,C1419051,COEXISTS_WITH,Glutamine,PSTPIP1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0017890,C1335144,COEXISTS_WITH,Glycine,Orthologous Gene,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0017968,C1367458,COEXISTS_WITH,Glycoproteins,LGI1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0019602,C1540309,COEXISTS_WITH,Histidine,MRO gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0019629,C1439270,COEXISTS_WITH,Histocompatibility Antigens Class I,ALAD gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0019647,C1825038,COEXISTS_WITH,Histone H3,EHMT2 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0019652,C0017429,COEXISTS_WITH,Histones,"Genome, Human",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021031,C0282641,COEXISTS_WITH,Fab Immunoglobulins,Transgenes,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021034,C0017351,COEXISTS_WITH,Immunoglobulin Heavy Chains,IGH gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021036,C1415996,COEXISTS_WITH,Immunoglobulin kappa-Chains,IGHV@ gene cluster,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0021036,C1416174,COEXISTS_WITH,Immunoglobulin kappa-Chains,IGKV@ gene cluster,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0021037,C1415996,COEXISTS_WITH,Immunoglobulin lambda-Chains,IGHV@ gene cluster,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0021037,C1416174,COEXISTS_WITH,Immunoglobulin lambda-Chains,IGKV@ gene cluster,aapp,gngm,2,COEXISTS_WITH_AAPPcxwtGNGM
C0021666,C1422163,COEXISTS_WITH,insulin-like growth factor 2,CTCF gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021743,C1539289,COEXISTS_WITH,Interferon Type I,AWAT2 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021747,C0017350,COEXISTS_WITH,Interferons,"Genes, Immunoglobulin",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021747,C0017429,COEXISTS_WITH,Interferons,"Genome, Human",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021755,C1826950,COEXISTS_WITH,Interleukin-1,RTL1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021756,C1422272,COEXISTS_WITH,Interleukin-2,GPANK1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021760,C1826950,COEXISTS_WITH,Interleukin-6,RTL1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021764,C1416967,COEXISTS_WITH,Interleukins,MAFF gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0021918,C1419097,COEXISTS_WITH,Intrinsic factor,PTPN14 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0022453,C0598467,COEXISTS_WITH,K-Casein,chimeric gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0023206,C0017376,COEXISTS_WITH,Lectin,"Genes, Viral",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0023206,C1415740,COEXISTS_WITH,Lectin,HSD17B4 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0023689,C0017429,COEXISTS_WITH,Ligase,"Genome, Human",aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0023820,C1334043,COEXISTS_WITH,Lipoproteins,Homologous Gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0024075,C0008844,COEXISTS_WITH,Luciferases,Cistron,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0024337,C1420411,COEXISTS_WITH,Lysine,SRP9 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0024337,C1825752,COEXISTS_WITH,Lysine,KRT36 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0024375,C0042720,COEXISTS_WITH,Protein-Lysine 6-Oxidase,Viral Genome,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0025252,C1424693,COEXISTS_WITH,Membrane Proteins,RNF139 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0025252,C1539270,COEXISTS_WITH,Membrane Proteins,DERL1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0027103,C1413267,COEXISTS_WITH,Myosin Type II,CDC5L gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0027803,C1537429,COEXISTS_WITH,Neuraminidase,MED29 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0028589,C2239799,COEXISTS_WITH,Nuclear Proteins,PATL1 gene,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
C0028612,C0042720,COEXISTS_WITH,Nucleoproteins,Viral Genome,aapp,gngm,1,COEXISTS_WITH_AAPPcxwtGNGM
