cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002059,C0301871,COEXISTS_WITH,Alkaline Phosphatase,Immunoprecipitate,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0002520,C0003316,COEXISTS_WITH,Amino Acids,Epitopes,aapp,imft,8,COEXISTS_WITH_AAPPcxwtIMFT
C0002520,C0021054,COEXISTS_WITH,Amino Acids,Immunologic Factors,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0002520,C0282580,COEXISTS_WITH,Amino Acids,"Epitopes, T-Lymphocyte",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0002520,C0282581,COEXISTS_WITH,Amino Acids,"Epitopes, B-Lymphocyte",aapp,imft,2,COEXISTS_WITH_AAPPcxwtIMFT
C0002520,C0796473,COEXISTS_WITH,Amino Acids,BL22 immunotoxin,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0002570,C0003324,COEXISTS_WITH,Aminopeptidase,Differentiation Antigens,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0002716,C0521390,COEXISTS_WITH,Amyloid,neuronal,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0003316,COEXISTS_WITH,Antibodies,Epitopes,aapp,imft,5,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0003335,COEXISTS_WITH,Antibodies,"Antigens, Neoplasm",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0005457,COEXISTS_WITH,Antibodies,"Binding Sites, Antibody",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0021009,COEXISTS_WITH,Antibodies,Immunoglobulin Fragments,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0021403,COEXISTS_WITH,Antibodies,Influenza virus vaccine,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0042210,COEXISTS_WITH,Antibodies,Vaccines,aapp,imft,2,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0042211,COEXISTS_WITH,Antibodies,"Vaccines, Attenuated",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0079600,COEXISTS_WITH,Antibodies,Immunodominant Epitopes,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0080188,COEXISTS_WITH,Antibodies,"Antigens, CD15",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0282580,COEXISTS_WITH,Antibodies,"Epitopes, T-Lymphocyte",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0301871,COEXISTS_WITH,Antibodies,Immunoprecipitate,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0376613,COEXISTS_WITH,Antibodies,"Vaccines, DNA",aapp,imft,2,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C0456981,COEXISTS_WITH,Antibodies,Specific antigen,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C1440440,COEXISTS_WITH,Antibodies,Chicken serum,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003241,C1440965,COEXISTS_WITH,Antibodies,Milk powder,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003242,C0301871,COEXISTS_WITH,"Antibodies, Anti-Idiotypic",Immunoprecipitate,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003250,C0003316,COEXISTS_WITH,Monoclonal Antibodies,Epitopes,aapp,imft,5,COEXISTS_WITH_AAPPcxwtIMFT
C0003250,C0005457,COEXISTS_WITH,Monoclonal Antibodies,"Binding Sites, Antibody",aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003250,C1548477,COEXISTS_WITH,Monoclonal Antibodies,Dengue fever vaccine,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003250,C1883036,COEXISTS_WITH,Monoclonal Antibodies,Single-Chain Antibodies,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003253,C0016712,COEXISTS_WITH,"Antibodies, Viral",Freund's Adjuvant,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003313,C0042210,COEXISTS_WITH,Immune complex,Vaccines,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003693,C3161957,COEXISTS_WITH,Arachidonate 5-Lipoxygenase,INFLUENZA strains,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0003993,C0042210,COEXISTS_WITH,ASPARAGINASE,Vaccines,aapp,imft,2,COEXISTS_WITH_AAPPcxwtIMFT
C0007332,C0016712,COEXISTS_WITH,Caseins,Freund's Adjuvant,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0008356,C0042210,COEXISTS_WITH,Cholera Toxin,Vaccines,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0010654,C0016712,COEXISTS_WITH,Cysteine,Freund's Adjuvant,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0010654,C1291777,COEXISTS_WITH,Cysteine,Protein antigen,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0013700,C0042210,COEXISTS_WITH,Egg Proteins,Vaccines,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0013705,C0016712,COEXISTS_WITH,Egg White Proteins,Freund's Adjuvant,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
C0017278,C0001551,COEXISTS_WITH,"Gene Products, env",Immunologic Adjuvants,aapp,imft,1,COEXISTS_WITH_AAPPcxwtIMFT
