cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001347,C3486801,COEXISTS_WITH,Acute-Phase Proteins,Sus scrofa lung preparation,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0001479,C4050026,COEXISTS_WITH,Na(+)-K(+)-Exchanging ATPase,Matrix,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002059,C0041175,COEXISTS_WITH,Alkaline Phosphatase,Tromethamine,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002059,C0063273,COEXISTS_WITH,Alkaline Phosphatase,icariin,aapp,orch,3,COEXISTS_WITH_AAPPcxwtORCH
C0002139,C0025748,COEXISTS_WITH,Alloisoleucine,methylene chloride,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002199,C0038317,COEXISTS_WITH,Interferon-alpha,Steroids,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002199,C0055295,COEXISTS_WITH,Interferon-alpha,chenodeoxycholate sulfate conjugate,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002210,C0028959,COEXISTS_WITH,alpha-Fetoproteins,Oligosaccharides,aapp,orch,2,COEXISTS_WITH_AAPPcxwtORCH
C0002210,C0874161,COEXISTS_WITH,alpha-Fetoproteins,Oseltamivir,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002210,C2927379,COEXISTS_WITH,alpha-Fetoproteins,Ella,aapp,orch,6,COEXISTS_WITH_AAPPcxwtORCH
C0002520,C0034266,COEXISTS_WITH,Amino Acids,Pyridoxal Phosphate,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002520,C0038734,COEXISTS_WITH,Amino Acids,Sulfhydryl Compounds,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002520,C0044438,COEXISTS_WITH,Amino Acids,1-methyl-2-pyrrolidinone,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002520,C0066350,COEXISTS_WITH,Amino Acids,methylene dimethanesulfonate,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
C0002520,C0210243,COEXISTS_WITH,Amino Acids,atevirdine,aapp,orch,1,COEXISTS_WITH_AAPPcxwtORCH
