cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002679,C3851350,COEXISTS_WITH,Amphotericin B,ledipasvir,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0002680,C0022239,COEXISTS_WITH,Ampicillin,Isopropyl Thiogalactoside,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0002680,C0637815,COEXISTS_WITH,Ampicillin,eckol,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C0002556,COEXISTS_WITH,Antibiotics,Aminoglycosides,antb,orch,2,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C0025872,COEXISTS_WITH,Antibiotics,Metronidazole,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C0041175,COEXISTS_WITH,Antibiotics,Tromethamine,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C0172217,COEXISTS_WITH,Antibiotics,arsenal,antb,orch,2,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C0949665,COEXISTS_WITH,Antibiotics,Fluoroquinolones,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C2729544,COEXISTS_WITH,Antibiotics,Legend,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0003232,C4050026,COEXISTS_WITH,Antibiotics,Matrix,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0007735,C0074992,COEXISTS_WITH,Cephalothin,sphingosine 1-phosphate,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0008168,C0001962,COEXISTS_WITH,Chloramphenicol,Ethanol,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0010572,C0012403,COEXISTS_WITH,Cycloheximide,Dimethyl Sulfoxide,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0010572,C0022237,COEXISTS_WITH,Cycloheximide,Isopropyl Alcohol,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0010572,C0070066,COEXISTS_WITH,Cycloheximide,paraform,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0013089,C0023828,COEXISTS_WITH,Doxorubicin,Liposomes,antb,orch,2,COEXISTS_WITH_ANTBcxwtORCH
C0013089,C1259940,COEXISTS_WITH,Doxorubicin,hinokinin,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0013090,C1435444,COEXISTS_WITH,Doxycycline,darunavir,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0013090,C2729544,COEXISTS_WITH,Doxycycline,Legend,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0022487,C0041175,COEXISTS_WITH,Kanamycin,Tromethamine,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0026458,C0065067,COEXISTS_WITH,Monobactams,lipoteichoic acid,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0026933,C0001962,COEXISTS_WITH,Mycophenolic Acid,Ethanol,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0026933,C0012403,COEXISTS_WITH,Mycophenolic Acid,Dimethyl Sulfoxide,antb,orch,2,COEXISTS_WITH_ANTBcxwtORCH
C0030576,C0012403,COEXISTS_WITH,Paromomycin,Dimethyl Sulfoxide,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0030842,C0041175,COEXISTS_WITH,Penicillins,Tromethamine,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0030842,C3851350,COEXISTS_WITH,Penicillins,ledipasvir,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
C0035608,C0012403,COEXISTS_WITH,Rifampin,Dimethyl Sulfoxide,antb,orch,1,COEXISTS_WITH_ANTBcxwtORCH
