cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C0006826,COEXISTS_WITH,Autophagy,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0004391,C0007621,COEXISTS_WITH,Autophagy,Neoplastic Cell Transformation,celf,neop,2,COEXISTS_WITH_CELFcxwtNEOP
C0004391,C0206669,COEXISTS_WITH,Autophagy,Hepatocellular Adenoma,celf,neop,2,COEXISTS_WITH_CELFcxwtNEOP
C0007587,C0007621,COEXISTS_WITH,Cell Death,Neoplastic Cell Transformation,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007587,C0206695,COEXISTS_WITH,Cell Death,"Carcinoma, Neuroendocrine",celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007613,C0006826,COEXISTS_WITH,Cell physiology,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0014139,C1512694,COEXISTS_WITH,Endocytosis,Increased Cellularity Present,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0037083,C0007621,COEXISTS_WITH,Signal Transduction,Neoplastic Cell Transformation,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0037083,C0596263,COEXISTS_WITH,Signal Transduction,Carcinogenesis,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0041904,C0006826,COEXISTS_WITH,Up-Regulation (Physiology),Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0162638,C0006826,COEXISTS_WITH,Apoptosis,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0162638,C0007621,COEXISTS_WITH,Apoptosis,Neoplastic Cell Transformation,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0596290,C0006826,COEXISTS_WITH,Cell Proliferation,Malignant Neoplasms,celf,neop,2,COEXISTS_WITH_CELFcxwtNEOP
C1155003,C0023434,COEXISTS_WITH,B-Cell Activation,Chronic Lymphocytic Leukemia,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C1155076,C1512694,COEXISTS_WITH,cellular defense response,Increased Cellularity Present,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C1326207,C0017636,COEXISTS_WITH,"Programmed Cell Death, Type II",Glioblastoma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C1517052,C0025202,COEXISTS_WITH,Extracellular Matrix Degradation,melanoma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C1523795,C0027651,COEXISTS_WITH,stress fiber assembly,Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C1622911,C0006826,COEXISTS_WITH,Anaphase,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C3825288,C0006826,COEXISTS_WITH,Cellular signal transduction,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
