cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002938,C0000786,COEXISTS_WITH,Aneuploidy,Spontaneous abortion,comd,dsyn,2,COEXISTS_WITH_COMDcxwtDSYN
C0010827,C3495919,COEXISTS_WITH,"Cytopathogenic Effect, Viral",Enthesitis-Related Arthritis,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0012860,C0035220,COEXISTS_WITH,DNA Damage,"Respiratory Distress Syndrome, Newborn",comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0025568,C0004096,COEXISTS_WITH,Metaplasia,Asthma,comd,dsyn,2,COEXISTS_WITH_COMDcxwtDSYN
C0025568,C0024117,COEXISTS_WITH,Metaplasia,Chronic Obstructive Airway Disease,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0025570,C0006271,COEXISTS_WITH,Squamous metaplasia,Bronchiolitis,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0025570,C0006277,COEXISTS_WITH,Squamous metaplasia,Bronchitis,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0025570,C0040584,COEXISTS_WITH,Squamous metaplasia,Tracheitis,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0025570,C0267375,COEXISTS_WITH,Squamous metaplasia,Chronic colitis,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0027746,C0019693,COEXISTS_WITH,Nerve Degeneration,HIV Infections,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0027746,C0026769,COEXISTS_WITH,Nerve Degeneration,Multiple Sclerosis,comd,dsyn,3,COEXISTS_WITH_COMDcxwtDSYN
C0027746,C0752105,COEXISTS_WITH,Nerve Degeneration,"Parkinsonism, Juvenile",comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0040715,C0000786,COEXISTS_WITH,Chromosomal translocation,Spontaneous abortion,comd,dsyn,2,COEXISTS_WITH_COMDcxwtDSYN
C0043020,C0029124,COEXISTS_WITH,Wallerian Degeneration,Optic Atrophy,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0079380,C0010674,COEXISTS_WITH,Frameshift Mutation function,Cystic Fibrosis,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0079380,C0013570,COEXISTS_WITH,Frameshift Mutation function,"Ecthyma, Contagious",comd,dsyn,2,COEXISTS_WITH_COMDcxwtDSYN
C0162773,C0206750,COEXISTS_WITH,Sequence Deletion,Coronavirus Infections,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0004096,COEXISTS_WITH,Oxidative Stress,Asthma,comd,dsyn,5,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0007222,COEXISTS_WITH,Oxidative Stress,Cardiovascular Diseases,comd,dsyn,3,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0011847,COEXISTS_WITH,Oxidative Stress,Diabetes,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0024117,COEXISTS_WITH,Oxidative Stress,Chronic Obstructive Airway Disease,comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0028754,COEXISTS_WITH,Oxidative Stress,Obesity,comd,dsyn,6,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0034069,COEXISTS_WITH,Oxidative Stress,Pulmonary Fibrosis,comd,dsyn,2,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0035220,COEXISTS_WITH,Oxidative Stress,"Respiratory Distress Syndrome, Newborn",comd,dsyn,1,COEXISTS_WITH_COMDcxwtDSYN
C0242606,C0035222,COEXISTS_WITH,Oxidative Stress,"Respiratory Distress Syndrome, Adult",comd,dsyn,2,COEXISTS_WITH_COMDcxwtDSYN
