cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012860,C0021368,COEXISTS_WITH,DNA Damage,Inflammation,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0025568,C0333355,COEXISTS_WITH,Metaplasia,Inflammatory disease of mucous membrane,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0025568,C1265932,COEXISTS_WITH,Metaplasia,Focal hyperplasia,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0027746,C1692321,COEXISTS_WITH,Nerve Degeneration,Cellular infiltrate,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0242606,C0016059,COEXISTS_WITH,Oxidative Stress,Fibrosis,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0242606,C0021368,COEXISTS_WITH,Oxidative Stress,Inflammation,comd,patf,3,COEXISTS_WITH_COMDcxwtPATF
C0333734,C0332448,COEXISTS_WITH,Neuronophagia,Infiltration,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0333734,C3686534,COEXISTS_WITH,Neuronophagia,Perivascular cuffing,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C0333961,C0020507,COEXISTS_WITH,Secondary hypertrophy,Hyperplasia,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C1705285,C0020517,COEXISTS_WITH,Mutation Abnormality,Hypersensitivity,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C3178870,C0018188,COEXISTS_WITH,Endoplasmic Reticulum Stress,Granuloma,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
C3178870,C0021368,COEXISTS_WITH,Endoplasmic Reticulum Stress,Inflammation,comd,patf,1,COEXISTS_WITH_COMDcxwtPATF
