cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000786,C0021400,COEXISTS_WITH,Spontaneous abortion,Influenza,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000786,C0032310,COEXISTS_WITH,Spontaneous abortion,"Pneumonia, Viral",dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000786,C0042164,COEXISTS_WITH,Spontaneous abortion,Uveitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000786,C0206750,COEXISTS_WITH,Spontaneous abortion,Coronavirus Infections,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000786,C0276289,COEXISTS_WITH,Spontaneous abortion,Zika Virus Infection,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000786,C0747845,COEXISTS_WITH,Spontaneous abortion,early pregnancy,dsyn,dsyn,2,COEXISTS_WITH_DSYNcxwtDSYN
C0000786,C2047215,COEXISTS_WITH,Spontaneous abortion,Herpesvirus 5 infection,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000832,C0264220,COEXISTS_WITH,Abruptio Placentae,Chronic disease of respiratory system,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0000832,C3694279,COEXISTS_WITH,Abruptio Placentae,Middle East Respiratory Syndrome,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001126,C0042769,COEXISTS_WITH,Renal tubular acidosis,Virus Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C0021831,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Intestinal Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C0151317,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Chronic infectious disease,dsyn,dsyn,2,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C0275518,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Acute infectious disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C0343752,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Acute HIV infection,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C0872054,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,latent infection,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C0876973,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Infectious disease of lung,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001175,C3495919,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Enthesitis-Related Arthritis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001314,C0031350,COEXISTS_WITH,Acute Disease,Pharyngitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001314,C0948343,COEXISTS_WITH,Acute Disease,Transfusion-Related Acute Lung Injury,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001339,C0149521,COEXISTS_WITH,Acute pancreatitis,"Pancreatitis, Chronic",dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001427,C0339798,COEXISTS_WITH,Adenoiditis,Chronic infective rhinitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001486,C0014493,COEXISTS_WITH,Adenovirus Infections,Epidemic keratoconjunctivitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001486,C0019348,COEXISTS_WITH,Adenovirus Infections,Herpes Simplex Infections,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001486,C1145670,COEXISTS_WITH,Adenovirus Infections,Respiratory Failure,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001487,C1856053,COEXISTS_WITH,"Adenovirus Infections, Human",Hydranencephaly with Renal Aplasia-Dysplasia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001623,C0004364,COEXISTS_WITH,Adrenal gland hypofunction,Autoimmune Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001752,C0151317,COEXISTS_WITH,African swine fever,Chronic infectious disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001752,C0275518,COEXISTS_WITH,African swine fever,Acute infectious disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001752,C2750737,COEXISTS_WITH,African swine fever,"DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL",dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001768,C0007682,COEXISTS_WITH,Agammaglobulinemia,CNS disorder,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001883,C0004096,COEXISTS_WITH,Airway Obstruction,Asthma,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001883,C0008679,COEXISTS_WITH,Airway Obstruction,Chronic disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001883,C0018799,COEXISTS_WITH,Airway Obstruction,Heart Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001883,C0024117,COEXISTS_WITH,Airway Obstruction,Chronic Obstructive Airway Disease,dsyn,dsyn,2,COEXISTS_WITH_DSYNcxwtDSYN
C0001883,C0035235,COEXISTS_WITH,Airway Obstruction,Respiratory Syncytial Virus Infections,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0001883,C1290886,COEXISTS_WITH,Airway Obstruction,Chronic inflammatory disorder,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002395,C0031099,COEXISTS_WITH,Alzheimer's Disease,Periodontitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002395,C0038454,COEXISTS_WITH,Alzheimer's Disease,Cerebrovascular accident,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002736,C1262091,COEXISTS_WITH,Amyotrophic Lateral Sclerosis,Lymphocytic infiltration,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C0008679,COEXISTS_WITH,Anemia,Chronic disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C0018802,COEXISTS_WITH,Anemia,Congestive heart failure,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C0038525,COEXISTS_WITH,Anemia,Subarachnoid Hemorrhage,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C0275518,COEXISTS_WITH,Anemia,Acute infectious disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C1290816,COEXISTS_WITH,Anemia,Post-weaning multisystemic wasting syndrome,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C1373218,COEXISTS_WITH,Anemia,Decreased Immunologic Activity [PE],dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002871,C1561643,COEXISTS_WITH,Anemia,Chronic Kidney Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0002878,C0036690,COEXISTS_WITH,"Anemia, Hemolytic",Septicemia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003047,C0016052,COEXISTS_WITH,Animal Diseases,Fibromuscular Dysplasia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003850,C0002395,COEXISTS_WITH,Arteriosclerosis,Alzheimer's Disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003850,C0020443,COEXISTS_WITH,Arteriosclerosis,Hypercholesterolemia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003850,C0020473,COEXISTS_WITH,Arteriosclerosis,Hyperlipidemia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003850,C0042373,COEXISTS_WITH,Arteriosclerosis,Vascular Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003850,C0751007,COEXISTS_WITH,Arteriosclerosis,Intracranial Atherosclerosis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003850,C1373218,COEXISTS_WITH,Arteriosclerosis,Decreased Immunologic Activity [PE],dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003864,C0004364,COEXISTS_WITH,Arthritis,Autoimmune Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003864,C0008055,COEXISTS_WITH,Arthritis,Chikungunya Fever,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003864,C0016053,COEXISTS_WITH,Arthritis,Fibromyalgia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003864,C0018378,COEXISTS_WITH,Arthritis,Guillain-Barre Syndrome,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003864,C0032285,COEXISTS_WITH,Arthritis,Pneumonia,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003864,C1719672,COEXISTS_WITH,Arthritis,Severe Sepsis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0004364,COEXISTS_WITH,Rheumatoid Arthritis,Autoimmune Diseases,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0006277,COEXISTS_WITH,Rheumatoid Arthritis,Bronchitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0017665,COEXISTS_WITH,Rheumatoid Arthritis,Membranous glomerulonephritis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0041296,COEXISTS_WITH,Rheumatoid Arthritis,Tuberculosis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0042164,COEXISTS_WITH,Rheumatoid Arthritis,Uveitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0221014,COEXISTS_WITH,Rheumatoid Arthritis,Reactive systemic amyloidosis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0240903,COEXISTS_WITH,Rheumatoid Arthritis,Rheumatoid Vasculitis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C0740848,COEXISTS_WITH,Rheumatoid Arthritis,Chronic Obstructive Pulmonary Disease EXACERBATION,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0003873,C4039834,COEXISTS_WITH,Rheumatoid Arthritis,Focal mesangial proliferative glomerulonephritis,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004031,C1960047,COEXISTS_WITH,"Aspergillosis, Allergic Bronchopulmonary",Moderate persistent asthma,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0001314,COEXISTS_WITH,Asthma,Acute Disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0003950,COEXISTS_WITH,Asthma,Ascariasis,dsyn,dsyn,2,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0004031,COEXISTS_WITH,Asthma,"Aspergillosis, Allergic Bronchopulmonary",dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0006271,COEXISTS_WITH,Asthma,Bronchiolitis,dsyn,dsyn,2,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0008677,COEXISTS_WITH,Asthma,"Bronchitis, Chronic",dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0013595,COEXISTS_WITH,Asthma,Eczema,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0016470,COEXISTS_WITH,Asthma,Food Allergy,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0021400,COEXISTS_WITH,Asthma,Influenza,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0024117,COEXISTS_WITH,Asthma,Chronic Obstructive Airway Disease,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0035243,COEXISTS_WITH,Asthma,Respiratory Tract Infections,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
C0004096,C0037052,COEXISTS_WITH,Asthma,Sick Sinus Syndrome,dsyn,dsyn,1,COEXISTS_WITH_DSYNcxwtDSYN
