cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006271,C0021294,COEXISTS_WITH,Bronchiolitis,"Infant, Premature",dsyn,humn,3,COEXISTS_WITH_DSYNcxwtHUMN
C0006287,C0021294,COEXISTS_WITH,Bronchopulmonary Dysplasia,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0018939,C0007294,COEXISTS_WITH,Hematological Disease,Genetic Carriers,dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0035235,C0021294,COEXISTS_WITH,Respiratory Syncytial Virus Infections,"Infant, Premature",dsyn,humn,3,COEXISTS_WITH_DSYNcxwtHUMN
C0035243,C0021294,COEXISTS_WITH,Respiratory Tract Infections,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0036690,C0021294,COEXISTS_WITH,Septicemia,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0042769,C0021294,COEXISTS_WITH,Virus Diseases,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0151594,C0021294,COEXISTS_WITH,Hemorrhagic diarrhea,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0264733,C0021294,COEXISTS_WITH,Ventricular dilatation (disorder),"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C0520459,C0021294,COEXISTS_WITH,Necrotizing Enterocolitis,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
C1290325,C0021294,COEXISTS_WITH,Disorder of lower respiratory system,"Infant, Premature",dsyn,humn,1,COEXISTS_WITH_DSYNcxwtHUMN
