cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003075,C0023779,COEXISTS_WITH,Anions,Lipids,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0007009,C0007404,COEXISTS_WITH,Carbon,Catechin,elii,orch,2,COEXISTS_WITH_ELIIcxwtORCH
C0007009,C0035856,COEXISTS_WITH,Carbon,Rosaniline Dyes,elii,orch,2,COEXISTS_WITH_ELIIcxwtORCH
C0007955,C0076271,COEXISTS_WITH,Charcoal,tetrahydrofuran,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0008209,C0009008,COEXISTS_WITH,Chlorine,Clomiphene,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0011744,C0012403,COEXISTS_WITH,Deuterium,Dimethyl Sulfoxide,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0011744,C0059460,COEXISTS_WITH,Deuterium,EPON,elii,orch,2,COEXISTS_WITH_ELIIcxwtORCH
C0018026,C0051706,COEXISTS_WITH,Gold,ammonium bicarbonate,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0018026,C0052919,COEXISTS_WITH,Gold,bafilomycin A1,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0018026,C0116356,COEXISTS_WITH,Gold,Epon 812,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0018026,C2948167,COEXISTS_WITH,Gold,Renown,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0020275,C4050026,COEXISTS_WITH,Hydrogen,Matrix,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0022023,C0008857,COEXISTS_WITH,Ions,Citrates,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0022023,C0022179,COEXISTS_WITH,Ions,Isoflavones,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0022023,C0025641,COEXISTS_WITH,Ions,Metergoline,elii,orch,3,COEXISTS_WITH_ELIIcxwtORCH
C0022023,C2728259,COEXISTS_WITH,Ions,Program,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0025424,C0074517,COEXISTS_WITH,Mercury,Silastic,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0028158,C0001002,COEXISTS_WITH,Nitrogen,Acetone,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0028158,C0646149,COEXISTS_WITH,Nitrogen,A-trisaccharide,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0029383,C0059460,COEXISTS_WITH,Osmium,EPON,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0030054,C0012403,COEXISTS_WITH,Oxygen,Dimethyl Sulfoxide,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0030054,C2926735,COEXISTS_WITH,Oxygen,Duration,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0034595,C0040900,COEXISTS_WITH,Radioisotopes,Trichloroacetic Acid,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0041119,C0012788,COEXISTS_WITH,Tritium,Dithionitrobenzoic Acid,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0260055,C0001002,COEXISTS_WITH,Liquid nitrogen,Acetone,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0260055,C0001962,COEXISTS_WITH,Liquid nitrogen,Ethanol,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0260055,C0053963,COEXISTS_WITH,Liquid nitrogen,Bouin's solution,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0260055,C0059460,COEXISTS_WITH,Liquid nitrogen,EPON,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0260055,C0916178,COEXISTS_WITH,Liquid nitrogen,trizol,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0260055,C1550067,COEXISTS_WITH,Liquid nitrogen,10% Formalin,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0567415,C0032594,COEXISTS_WITH,Atom (substance),Polysaccharides,elii,orch,2,COEXISTS_WITH_ELIIcxwtORCH
C0567415,C0035856,COEXISTS_WITH,Atom (substance),Rosaniline Dyes,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0567415,C0646149,COEXISTS_WITH,Atom (substance),A-trisaccharide,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0596235,C0012403,COEXISTS_WITH,Calcium ion,Dimethyl Sulfoxide,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0596235,C0013618,COEXISTS_WITH,Calcium ion,Edetic Acid,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0596235,C0628612,COEXISTS_WITH,Calcium ion,compound FP 1,elii,orch,2,COEXISTS_WITH_ELIIcxwtORCH
C0596235,C0628615,COEXISTS_WITH,Calcium ion,compound FP 2,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C0700308,C0074732,COEXISTS_WITH,Protium,sodium carbonate,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C2346661,C0072836,COEXISTS_WITH,Pb2+,quercitrin,elii,orch,1,COEXISTS_WITH_ELIIcxwtORCH
C2349970,C0052009,COEXISTS_WITH,S4+,antibiotic G 418,elii,orch,2,COEXISTS_WITH_ELIIcxwtORCH
