cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001963,C0038720,COEXISTS_WITH,Methanol,"Sulfates, Inorganic",hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0001963,C0043047,COEXISTS_WITH,Methanol,Water,hops,inch,11,COEXISTS_WITH_HOPScxwtINCH
C0001963,C0790233,COEXISTS_WITH,Methanol,Distilled water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0008238,C0043047,COEXISTS_WITH,Chloroform,Water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0014264,C0445115,COEXISTS_WITH,Endotoxins,Normal saline,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0016564,C0043047,COEXISTS_WITH,Formaldehyde,Water,hops,inch,3,COEXISTS_WITH_HOPScxwtINCH
C0016564,C0071778,COEXISTS_WITH,Formaldehyde,potassium phosphate,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0016564,C2919405,COEXISTS_WITH,Formaldehyde,Tap water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0026879,C0146894,COEXISTS_WITH,Mutagens,triphosphate,hops,inch,2,COEXISTS_WITH_HOPScxwtINCH
C0029385,C0790233,COEXISTS_WITH,Osmium Tetroxide,Distilled water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0037366,C3536832,COEXISTS_WITH,Smoke,Air,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0037517,C0043047,COEXISTS_WITH,Sodium Hydroxide,Water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0056067,C0071778,COEXISTS_WITH,coelenterazine,potassium phosphate,hops,inch,2,COEXISTS_WITH_HOPScxwtINCH
C0058229,C0071755,COEXISTS_WITH,dimethyl sulfate,potassium carbonate,hops,inch,2,COEXISTS_WITH_HOPScxwtINCH
C0066256,C0030015,COEXISTS_WITH,methyl isocyanate,Oxides,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0077096,C0043047,COEXISTS_WITH,triethylamine,Water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0103091,C0043047,COEXISTS_WITH,Ammonium sulfamate,Water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0218499,C0043047,COEXISTS_WITH,imidacloprid,Water,hops,inch,1,COEXISTS_WITH_HOPScxwtINCH
C0599786,C3536832,COEXISTS_WITH,pollutant,Air,hops,inch,4,COEXISTS_WITH_HOPScxwtINCH
