cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0003320,COEXISTS_WITH,Immunologic Adjuvants,Antigens,imft,bacs,4,COEXISTS_WITH_IMFTcxwtBACS
C0001551,C0056912,COEXISTS_WITH,Immunologic Adjuvants,cytidylyl-3'-5'-guanosine,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0001804,C0016945,COEXISTS_WITH,Agglutinins,Galactose,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0003320,COEXISTS_WITH,Epitopes,Antigens,imft,bacs,5,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0006353,COEXISTS_WITH,Epitopes,Buffers,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0018909,COEXISTS_WITH,Epitopes,Hemagglutinin,imft,bacs,3,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0019143,COEXISTS_WITH,Epitopes,Heparitin Sulfate,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0042479,COEXISTS_WITH,Epitopes,Venoms,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0056912,COEXISTS_WITH,Epitopes,cytidylyl-3'-5'-guanosine,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0003316,C0700214,COEXISTS_WITH,Epitopes,carrier (molecular),imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0003342,C0006353,COEXISTS_WITH,"Antigens, Viral",Buffers,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0004359,C0003320,COEXISTS_WITH,Autoantigens,Antigens,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0004886,C1136170,COEXISTS_WITH,BCG Vaccine,Virulence Factors,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0019168,C0006353,COEXISTS_WITH,Hepatitis B Surface Antigens,Buffers,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0032375,C0600493,COEXISTS_WITH,Oral Poliovirus Vaccine,5' Untranslated Regions,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0039620,C0006353,COEXISTS_WITH,Tetanus Vaccine,Buffers,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0041361,C0003320,COEXISTS_WITH,Tumor Antigens,Antigens,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0042210,C0003320,COEXISTS_WITH,Vaccines,Antigens,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0042210,C0006353,COEXISTS_WITH,Vaccines,Buffers,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0042210,C0012854,COEXISTS_WITH,Vaccines,DNA,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0042210,C0018909,COEXISTS_WITH,Vaccines,Hemagglutinin,imft,bacs,2,COEXISTS_WITH_IMFTcxwtBACS
C0042210,C0035696,COEXISTS_WITH,Vaccines,"RNA, Messenger",imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0042210,C1764827,COEXISTS_WITH,Vaccines,Isolate - microorganism,imft,bacs,4,COEXISTS_WITH_IMFTcxwtBACS
C0042212,C0003320,COEXISTS_WITH,"Vaccines, Inactivated",Antigens,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0051967,C0006353,COEXISTS_WITH,anti-c antibody,Buffers,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0166049,C0006353,COEXISTS_WITH,Hepatitis C Antibodies,Buffers,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
C0282580,C0003320,COEXISTS_WITH,"Epitopes, T-Lymphocyte",Antigens,imft,bacs,3,COEXISTS_WITH_IMFTcxwtBACS
C0282580,C1764827,COEXISTS_WITH,"Epitopes, T-Lymphocyte",Isolate - microorganism,imft,bacs,1,COEXISTS_WITH_IMFTcxwtBACS
