cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C1334043,COEXISTS_WITH,Immunologic Adjuvants,Homologous Gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0003316,C0079941,COEXISTS_WITH,Epitopes,Open Reading Frames,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0003316,C0282641,COEXISTS_WITH,Epitopes,Transgenes,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0003316,C1420557,COEXISTS_WITH,Epitopes,SYT2 gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0003445,C0029073,COEXISTS_WITH,Antitoxins,Operon,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0019168,C0079941,COEXISTS_WITH,Hepatitis B Surface Antigens,Open Reading Frames,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0042210,C1334043,COEXISTS_WITH,Vaccines,Homologous Gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0042210,C1423529,COEXISTS_WITH,Vaccines,ANKH gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0042210,C1537673,COEXISTS_WITH,Vaccines,MDFIC gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0042210,C1705310,COEXISTS_WITH,Vaccines,PTEN wt Allele,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0079600,C0206256,COEXISTS_WITH,Immunodominant Epitopes,"Genes, Immediate-Early",imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0282580,C1334043,COEXISTS_WITH,"Epitopes, T-Lymphocyte",Homologous Gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C0282581,C1414057,COEXISTS_WITH,"Epitopes, B-Lymphocyte",DKK1 gene,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C1165245,C0042720,COEXISTS_WITH,Pacis,Viral Genome,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
C1883036,C0042720,COEXISTS_WITH,Single-Chain Antibodies,Viral Genome,imft,gngm,1,COEXISTS_WITH_IMFTcxwtGNGM
