cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0043047,COEXISTS_WITH,Immunologic Adjuvants,Water,imft,inch,2,COEXISTS_WITH_IMFTcxwtINCH
C0001551,C0051522,COEXISTS_WITH,Immunologic Adjuvants,aluminum sulfate,imft,inch,10,COEXISTS_WITH_IMFTcxwtINCH
C0001551,C0475871,COEXISTS_WITH,Immunologic Adjuvants,Aluminum salts,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C0002092,C3536832,COEXISTS_WITH,Allergens,Air,imft,inch,4,COEXISTS_WITH_IMFTcxwtINCH
C0003316,C0002055,COEXISTS_WITH,Epitopes,Alkalies,imft,inch,2,COEXISTS_WITH_IMFTcxwtINCH
C0003342,C0005367,COEXISTS_WITH,"Antigens, Viral",Bicarbonates,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C0019168,C0002371,COEXISTS_WITH,Hepatitis B Surface Antigens,Aluminum Hydroxide,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C0042210,C0043047,COEXISTS_WITH,Vaccines,Water,imft,inch,3,COEXISTS_WITH_IMFTcxwtINCH
C0042210,C0051522,COEXISTS_WITH,Vaccines,aluminum sulfate,imft,inch,2,COEXISTS_WITH_IMFTcxwtINCH
C0042210,C0359299,COEXISTS_WITH,Vaccines,sterile water,imft,inch,2,COEXISTS_WITH_IMFTcxwtINCH
C0042210,C1601799,COEXISTS_WITH,Vaccines,phosphate ion,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C0042742,C0051522,COEXISTS_WITH,Viral Vaccines,aluminum sulfate,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C0301871,C0790233,COEXISTS_WITH,Immunoprecipitate,Distilled water,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C0887892,C0051522,COEXISTS_WITH,"Vaccines, Subunit",aluminum sulfate,imft,inch,2,COEXISTS_WITH_IMFTcxwtINCH
C1440440,C2919405,COEXISTS_WITH,Chicken serum,Tap water,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C1720919,C0359299,COEXISTS_WITH,Zostavax,sterile water,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
C2747605,C0439892,COEXISTS_WITH,orange pekoe tea allergenic extract,Boiled water,imft,inch,1,COEXISTS_WITH_IMFTcxwtINCH
