cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001771,C3536832,COEXISTS_WITH,Agar,Air,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0001933,C0043047,COEXISTS_WITH,Alcian Blue,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0006556,C0043047,COEXISTS_WITH,"DNA, Complementary",Water,irda,inch,2,COEXISTS_WITH_IRDAcxwtINCH
C0014448,C0790233,COEXISTS_WITH,Eosine Yellowish,Distilled water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0017440,C0043047,COEXISTS_WITH,Gentian Violet,Water,irda,inch,3,COEXISTS_WITH_IRDAcxwtINCH
C0017542,C0043047,COEXISTS_WITH,Giemsa stain,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0018964,C0043047,COEXISTS_WITH,Hematoxylin,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0025729,C0043047,COEXISTS_WITH,Methylcellulose,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0076466,C0043047,COEXISTS_WITH,Thioflavin T,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0085216,C0007026,COEXISTS_WITH,Fluorescein-5-isothiocyanate,Carbonates,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C0878435,C0043047,COEXISTS_WITH,Hoechst 33258,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C3469601,C0043047,COEXISTS_WITH,Eluent,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C3489916,C0074722,COEXISTS_WITH,Alexa Fluor 647,Sodium Bicarbonate,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C3889729,C0043047,COEXISTS_WITH,Carbon Nanoparticle-based Formulation,Water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
C3889729,C0790233,COEXISTS_WITH,Carbon Nanoparticle-based Formulation,Distilled water,irda,inch,1,COEXISTS_WITH_IRDAcxwtINCH
