cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003467,C0007570,COEXISTS_WITH,Anxiety,Celiac Disease,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0009952,COEXISTS_WITH,Anxiety,Febrile Convulsions,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0011615,COEXISTS_WITH,Anxiety,"Dermatitis, Atopic",menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0021400,COEXISTS_WITH,Anxiety,Influenza,menp,dsyn,2,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0024117,COEXISTS_WITH,Anxiety,Chronic Obstructive Airway Disease,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0034362,COEXISTS_WITH,Anxiety,Q Fever,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0035243,COEXISTS_WITH,Anxiety,Respiratory Tract Infections,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C0238049,COEXISTS_WITH,Anxiety,Adult form of celiac disease,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C1175175,COEXISTS_WITH,Anxiety,Severe Acute Respiratory Syndrome,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C2062441,COEXISTS_WITH,Anxiety,Influenza A,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0003467,C2076600,COEXISTS_WITH,Anxiety,Influenza due to Influenza A virus subtype H1N1,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
C0009649,C0740766,COEXISTS_WITH,"Conditioning, Classical",acute pneumonia,menp,dsyn,1,COEXISTS_WITH_MENPcxwtDSYN
