cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001038,C0042769,COEXISTS_WITH,Acetylation,Virus Diseases,moft,dsyn,2,COEXISTS_WITH_MOFTcxwtDSYN
C0001801,C0002871,COEXISTS_WITH,agglutination,Anemia,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0003319,C0016627,COEXISTS_WITH,Antigenic Variation,Influenza in Birds,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0003319,C0023530,COEXISTS_WITH,Antigenic Variation,Leukopenia,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0003319,C0024530,COEXISTS_WITH,Antigenic Variation,Malaria,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0002395,COEXISTS_WITH,Complement Activation,Alzheimer's Disease,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0004623,COEXISTS_WITH,Complement Activation,Bacterial Infections,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0010340,COEXISTS_WITH,Complement Activation,Critical Illness,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0035222,COEXISTS_WITH,Complement Activation,"Respiratory Distress Syndrome, Adult",moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0036690,COEXISTS_WITH,Complement Activation,Septicemia,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0042769,COEXISTS_WITH,Complement Activation,Virus Diseases,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0376550,COEXISTS_WITH,Complement Activation,Astroviridae Infections,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C0919833,COEXISTS_WITH,Complement Activation,Ross river virus infection,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0009528,C1443953,COEXISTS_WITH,Complement Activation,Acute viral disease,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
C0010357,C0014661,COEXISTS_WITH,Cross Reactions,Equine Infectious Anemia,moft,dsyn,2,COEXISTS_WITH_MOFTcxwtDSYN
C0010357,C0025517,COEXISTS_WITH,Cross Reactions,Metabolic Diseases,moft,dsyn,1,COEXISTS_WITH_MOFTcxwtDSYN
