cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006826,C0032176,COEXISTS_WITH,Malignant Neoplasms,Platelet aggregation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0006826,C0596290,COEXISTS_WITH,Malignant Neoplasms,Cell Proliferation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0007114,C0162638,COEXISTS_WITH,Malignant neoplasm of skin,Apoptosis,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0007621,C0007613,COEXISTS_WITH,Neoplastic Cell Transformation,Cell physiology,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0009375,C3156633,COEXISTS_WITH,Colonic Neoplasms,hepatocyte proliferation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0026948,C0040682,COEXISTS_WITH,Mycosis Fungoides,cell transformation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0027651,C1656555,COEXISTS_WITH,Neoplasms,viral entry into host cell,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0027668,C0162638,COEXISTS_WITH,"Neoplasms, Vascular Tissue",Apoptosis,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0032580,C0026255,COEXISTS_WITH,Adenomatous Polyposis Coli,Mitosis,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0032580,C2755105,COEXISTS_WITH,Adenomatous Polyposis Coli,stem cell proliferation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0178874,C1523298,COEXISTS_WITH,Tumor Progression,epithelial to mesenchymal transition,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0280100,C1517052,COEXISTS_WITH,Solid Neoplasm,Extracellular Matrix Degradation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C0596263,C0596290,COEXISTS_WITH,Carcinogenesis,Cell Proliferation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C1512409,C0596290,COEXISTS_WITH,Hepatocarcinogenesis,Cell Proliferation,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C1516857,C0162638,COEXISTS_WITH,Serous Endometrial Intraepithelial Carcinoma,Apoptosis,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
C2939419,C1523298,COEXISTS_WITH,Secondary Neoplasm,epithelial to mesenchymal transition,neop,celf,1,COEXISTS_WITH_NEOPcxwtCELF
