cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0017360,COEXISTS_WITH,Base Sequence,pol genes,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0004793,C0700271,COEXISTS_WITH,Base Sequence,"M Protein, multiple myeloma",nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0004793,C1417870,COEXISTS_WITH,Base Sequence,NTSR1 gene,nusq,aapp,2,COEXISTS_WITH_NUSQcxwtAAPP
C0004793,C1418822,COEXISTS_WITH,Base Sequence,PPP1R10 gene,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0004793,C3715044,COEXISTS_WITH,Base Sequence,AKR1A1 wt Allele,nusq,aapp,2,COEXISTS_WITH_NUSQcxwtAAPP
C0009802,C0017278,COEXISTS_WITH,Conserved Sequence,"Gene Products, env",nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0009802,C0035685,COEXISTS_WITH,Conserved Sequence,RNA-Directed RNA Polymerase,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0009802,C0599220,COEXISTS_WITH,Conserved Sequence,Protein Subunits,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0012591,C1706649,COEXISTS_WITH,Direct Repeat,ADRB1 wt Allele,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0079160,C0017968,COEXISTS_WITH,Consensus Sequence,Glycoproteins,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0079160,C1705280,COEXISTS_WITH,Consensus Sequence,CDKN2A wt Allele,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0079160,C2985502,COEXISTS_WITH,Consensus Sequence,Hemagglutinin-Neuraminidase,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
C0080089,C0002520,COEXISTS_WITH,Reading Frames (Nucleotide Sequence),Amino Acids,nusq,aapp,1,COEXISTS_WITH_NUSQcxwtAAPP
