cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000096,C0006353,COEXISTS_WITH,1-Methyl-3-isobutylxanthine,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0000975,C0006353,COEXISTS_WITH,Acetate,Buffers,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0000986,C0006353,COEXISTS_WITH,acetic anhydride,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0001002,C0006353,COEXISTS_WITH,Acetone,Buffers,orch,bacs,4,COEXISTS_WITH_ORCHcxwtBACS
C0001002,C0034085,COEXISTS_WITH,Acetone,Pulmonary Surfactants,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0001002,C0041942,COEXISTS_WITH,Acetone,Urea,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0001186,C0012854,COEXISTS_WITH,Acridines,DNA,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0001392,C1764827,COEXISTS_WITH,Adamantane,Isolate - microorganism,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0001962,C0000545,COEXISTS_WITH,Ethanol,Eicosapentaenoic Acid,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0001962,C0006353,COEXISTS_WITH,Ethanol,Buffers,orch,bacs,4,COEXISTS_WITH_ORCHcxwtBACS
C0002508,C0035711,COEXISTS_WITH,Amines,Transfer RNA,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0002732,C0006353,COEXISTS_WITH,Amylose,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0004504,C1764827,COEXISTS_WITH,Azoles,Isolate - microorganism,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0005050,C0035142,COEXISTS_WITH,Benzimidazoles,Replicon,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0005304,C0006353,COEXISTS_WITH,Betaine,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0005575,C0006353,COEXISTS_WITH,Biotin,Buffers,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0005575,C0042010,COEXISTS_WITH,Biotin,Uridine Triphosphate,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0006247,C0006353,COEXISTS_WITH,Bromphenol Blue,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007004,C0006353,COEXISTS_WITH,Carbohydrates,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007004,C0017725,COEXISTS_WITH,Carbohydrates,Glucose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007004,C0018909,COEXISTS_WITH,Carbohydrates,Hemagglutinin,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007004,C0022949,COEXISTS_WITH,Carbohydrates,Lactose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007004,C0038636,COEXISTS_WITH,Carbohydrates,Sucrose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007004,C0040815,COEXISTS_WITH,Carbohydrates,Trehalose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007043,C0017725,COEXISTS_WITH,Carbonyl Cyanide m-Chlorophenyl Hydrazone,Glucose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0007066,C0035142,COEXISTS_WITH,Carboxylic Acids,Replicon,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0008269,C0006353,COEXISTS_WITH,Chloroquine,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0008857,C0037494,COEXISTS_WITH,Citrates,Sodium Chloride,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0008857,C3714516,COEXISTS_WITH,Citrates,tetraspanin-enriched microdomain,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0009262,C0010738,COEXISTS_WITH,Colchicine,Cytochalasin D,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0011793,C0041942,COEXISTS_WITH,Dextran 40,Urea,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0011795,C0041942,COEXISTS_WITH,Dextran 70,Urea,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012403,C0006353,COEXISTS_WITH,Dimethyl Sulfoxide,Buffers,orch,bacs,9,COEXISTS_WITH_ORCHcxwtBACS
C0012403,C0028928,COEXISTS_WITH,Dimethyl Sulfoxide,Oleic Acid,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012403,C0078517,COEXISTS_WITH,Dimethyl Sulfoxide,wortmannin,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012403,C0486948,COEXISTS_WITH,Dimethyl Sulfoxide,Human immunodeficiency virus 1 DNA,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012403,C4079663,COEXISTS_WITH,Dimethyl Sulfoxide,NVP018,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012611,C0040815,COEXISTS_WITH,Disaccharides,Trehalose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012789,C0002677,COEXISTS_WITH,Dithiothreitol,Ampholytes,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0012789,C0006353,COEXISTS_WITH,Dithiothreitol,Buffers,orch,bacs,14,COEXISTS_WITH_ORCHcxwtBACS
C0012789,C0041942,COEXISTS_WITH,Dithiothreitol,Urea,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0013618,C0006353,COEXISTS_WITH,Edetic Acid,Buffers,orch,bacs,5,COEXISTS_WITH_ORCHcxwtBACS
C0013618,C0037494,COEXISTS_WITH,Edetic Acid,Sodium Chloride,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0013618,C0038636,COEXISTS_WITH,Edetic Acid,Sucrose,orch,bacs,3,COEXISTS_WITH_ORCHcxwtBACS
C0013714,C0006353,COEXISTS_WITH,Egtazic Acid,Buffers,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0013714,C0038636,COEXISTS_WITH,Egtazic Acid,Sucrose,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0013714,C0041942,COEXISTS_WITH,Egtazic Acid,Urea,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0014898,C0006353,COEXISTS_WITH,Esters,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0014983,C0006353,COEXISTS_WITH,Ethanolamines,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0015667,C0032615,COEXISTS_WITH,"Fat Emulsions, Intravenous",Polyunsaturated Fatty Acids,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0015688,C0041004,COEXISTS_WITH,Nonesterified Fatty Acids,Triglycerides,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0016219,C0033488,COEXISTS_WITH,Flavones,Propolis,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0016377,C0006353,COEXISTS_WITH,Flurbiprofen,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0017814,C0006353,COEXISTS_WITH,Glutaral,Buffers,orch,bacs,67,COEXISTS_WITH_ORCHcxwtBACS
C0017986,C0040549,COEXISTS_WITH,Glycyrrhetinic acid,Toxin,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0019215,C0006353,COEXISTS_WITH,HEPES,Buffers,orch,bacs,5,COEXISTS_WITH_ORCHcxwtBACS
C0019215,C0037494,COEXISTS_WITH,HEPES,Sodium Chloride,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0020923,C0006353,COEXISTS_WITH,Imidazole,Buffers,orch,bacs,14,COEXISTS_WITH_ORCHcxwtBACS
C0020923,C0041942,COEXISTS_WITH,Imidazole,Urea,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0021246,C0033559,COEXISTS_WITH,Indomethacin,Prostaglandins E,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0021973,C0006353,COEXISTS_WITH,Iodoacetamide,Buffers,orch,bacs,5,COEXISTS_WITH_ORCHcxwtBACS
C0022237,C0006353,COEXISTS_WITH,Isopropyl Alcohol,Buffers,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0022237,C0017911,COEXISTS_WITH,Isopropyl Alcohol,Glycogen,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0022239,C0006353,COEXISTS_WITH,Isopropyl Thiogalactoside,Buffers,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0023779,C0008377,COEXISTS_WITH,Lipids,Cholesterol,orch,bacs,3,COEXISTS_WITH_ORCHcxwtBACS
C0023779,C0034085,COEXISTS_WITH,Lipids,Pulmonary Surfactants,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0023779,C0041004,COEXISTS_WITH,Lipids,Triglycerides,orch,bacs,2,COEXISTS_WITH_ORCHcxwtBACS
C0023779,C1099354,COEXISTS_WITH,Lipids,"RNA, Small Interfering",orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0023810,C0003320,COEXISTS_WITH,Lipopolysaccharides,Antigens,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0023810,C0813622,COEXISTS_WITH,Lipopolysaccharides,Hyaluronan,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
C0023828,C0006353,COEXISTS_WITH,Liposomes,Buffers,orch,bacs,5,COEXISTS_WITH_ORCHcxwtBACS
C0023828,C0012854,COEXISTS_WITH,Liposomes,DNA,orch,bacs,1,COEXISTS_WITH_ORCHcxwtBACS
