cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000975,C0260055,COEXISTS_WITH,Acetate,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0001962,C0260055,COEXISTS_WITH,Ethanol,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0001962,C0596235,COEXISTS_WITH,Ethanol,Calcium ion,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0001962,C0655714,COEXISTS_WITH,Ethanol,TE 5,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0001992,C0030054,COEXISTS_WITH,Aldehydes,Oxygen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0002072,C0022023,COEXISTS_WITH,Alkanesulfonates,Ions,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0002072,C0596455,COEXISTS_WITH,Alkanesulfonates,divalent metal,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0007158,C0022023,COEXISTS_WITH,Cardiac Glycosides,Ions,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0012403,C0260055,COEXISTS_WITH,Dimethyl Sulfoxide,Liquid nitrogen,orch,elii,4,COEXISTS_WITH_ORCHcxwtELII
C0012789,C0260055,COEXISTS_WITH,Dithiothreitol,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0012789,C0567415,COEXISTS_WITH,Dithiothreitol,Atom (substance),orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0013618,C0260055,COEXISTS_WITH,Edetic Acid,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0013618,C0596235,COEXISTS_WITH,Edetic Acid,Calcium ion,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0013618,C2346927,COEXISTS_WITH,Edetic Acid,Magnesium Cation,orch,elii,2,COEXISTS_WITH_ORCHcxwtELII
C0016377,C0260055,COEXISTS_WITH,Flurbiprofen,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0020923,C0260055,COEXISTS_WITH,Imidazole,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0022180,C0030054,COEXISTS_WITH,Isoflurane,Oxygen,orch,elii,9,COEXISTS_WITH_ORCHcxwtELII
C0022947,C0030054,COEXISTS_WITH,Lactones,Oxygen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0025402,C0260055,COEXISTS_WITH,2-Mercaptoethanol,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0025809,C0058347,COEXISTS_WITH,Methylphenazonium Methosulfate,Dioxygen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0026156,C0260055,COEXISTS_WITH,Mineral Oil,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0028908,C0260055,COEXISTS_WITH,Oils,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0028959,C0030054,COEXISTS_WITH,Oligosaccharides,Oxygen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0032479,C0260055,COEXISTS_WITH,polyethylene glycol 4000,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0032594,C0022023,COEXISTS_WITH,Polysaccharides,Ions,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0032594,C1708097,COEXISTS_WITH,Polysaccharides,Fragment Ion,orch,elii,2,COEXISTS_WITH_ORCHcxwtELII
C0034354,C0030054,COEXISTS_WITH,Pyruvates,Oxygen,orch,elii,2,COEXISTS_WITH_ORCHcxwtELII
C0038734,C0038836,COEXISTS_WITH,Sulfhydryl Compounds,Superoxides,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0053233,C0030054,COEXISTS_WITH,benzophenone,Oxygen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0059460,C0260055,COEXISTS_WITH,EPON,Liquid nitrogen,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0060505,C0596235,COEXISTS_WITH,Fluo-3,Calcium ion,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0060549,C0022023,COEXISTS_WITH,Fluorexon stain,Ions,orch,elii,2,COEXISTS_WITH_ORCHcxwtELII
C0064138,C0023031,COEXISTS_WITH,jasmonic acid,Lanthanum,orch,elii,1,COEXISTS_WITH_ORCHcxwtELII
C0066776,C0002367,COEXISTS_WITH,monophosphoryl lipid A,Aluminum,orch,elii,2,COEXISTS_WITH_ORCHcxwtELII
