cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000473,C0625930,COEXISTS_WITH,4-Aminobenzoic Acid,polyphosphoric acid,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0000983,C0043047,COEXISTS_WITH,Acetic Acid,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0000983,C0071767,COEXISTS_WITH,Acetic Acid,Potassium Hydroxide,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0000983,C0359299,COEXISTS_WITH,Acetic Acid,sterile water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0000983,C0790233,COEXISTS_WITH,Acetic Acid,Distilled water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0001002,C0043047,COEXISTS_WITH,Acetone,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0002055,COEXISTS_WITH,Ethanol,Alkalies,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0043047,COEXISTS_WITH,Ethanol,Water,orch,inch,27,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0074728,COEXISTS_WITH,Ethanol,sodium borohydride,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0359299,COEXISTS_WITH,Ethanol,sterile water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0001962,C0790233,COEXISTS_WITH,Ethanol,Distilled water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0001975,C0002055,COEXISTS_WITH,Alcohols,Alkalies,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0002062,C0043047,COEXISTS_WITH,Alkaloids,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0003968,C0043047,COEXISTS_WITH,Ascorbic Acid,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0006644,C0043047,COEXISTS_WITH,Caffeine,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0006948,C0030015,COEXISTS_WITH,Carbamates,Oxides,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0007068,C0043047,COEXISTS_WITH,Carboxymethylcellulose,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0008857,C0043047,COEXISTS_WITH,Citrates,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0010467,C0043047,COEXISTS_WITH,Curcumin,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0012403,C0043047,COEXISTS_WITH,Dimethyl Sulfoxide,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0012403,C0359299,COEXISTS_WITH,Dimethyl Sulfoxide,sterile water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0012403,C0445115,COEXISTS_WITH,Dimethyl Sulfoxide,Normal saline,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0012780,C0043047,COEXISTS_WITH,Diterpenes,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0012789,C0020746,COEXISTS_WITH,Dithiothreitol,Ice,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0012789,C0043047,COEXISTS_WITH,Dithiothreitol,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0012789,C0621573,COEXISTS_WITH,Dithiothreitol,triethylammonium bicarbonate,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0013618,C0020746,COEXISTS_WITH,Edetic Acid,Ice,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0013618,C0043047,COEXISTS_WITH,Edetic Acid,Water,orch,inch,4,COEXISTS_WITH_ORCHcxwtINCH
C0013618,C0074757,COEXISTS_WITH,Edetic Acid,sodium phosphate,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0013618,C0543134,COEXISTS_WITH,Edetic Acid,Balanced salt solution,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0014898,C0006222,COEXISTS_WITH,Esters,Bromides,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0014964,C0359299,COEXISTS_WITH,Ethambutol,sterile water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0014994,C0043047,COEXISTS_WITH,ethyl ether,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0015133,C0043047,COEXISTS_WITH,Etoposide,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0016576,C0010511,COEXISTS_WITH,formic acid,Cyanogen Bromide,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0016576,C0043047,COEXISTS_WITH,formic acid,Water,orch,inch,30,COEXISTS_WITH_ORCHcxwtINCH
C0017814,C0071767,COEXISTS_WITH,Glutaral,Potassium Hydroxide,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0019215,C0071767,COEXISTS_WITH,HEPES,Potassium Hydroxide,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0019215,C0445115,COEXISTS_WITH,HEPES,Normal saline,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0019215,C0543134,COEXISTS_WITH,HEPES,Balanced salt solution,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0019873,C0043047,COEXISTS_WITH,Ethidium Bromide,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0022180,C0445115,COEXISTS_WITH,Isoflurane,Normal saline,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0022209,C0359299,COEXISTS_WITH,isoniazid,sterile water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0022237,C0043047,COEXISTS_WITH,Isopropyl Alcohol,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0023779,C0043047,COEXISTS_WITH,Lipids,Water,orch,inch,3,COEXISTS_WITH_ORCHcxwtINCH
C0023810,C0043047,COEXISTS_WITH,Lipopolysaccharides,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0023810,C0445115,COEXISTS_WITH,Lipopolysaccharides,Normal saline,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0023828,C0043047,COEXISTS_WITH,Liposomes,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0023899,C0029366,COEXISTS_WITH,Liver Extract,Orthovanadate,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0024730,C0043047,COEXISTS_WITH,Mannitol,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0025402,C0043047,COEXISTS_WITH,2-Mercaptoethanol,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0025746,C0043047,COEXISTS_WITH,Methylene blue,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0026156,C0043047,COEXISTS_WITH,Mineral Oil,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0028132,C0024472,COEXISTS_WITH,Nitrilotriacetic Acid,Magnesium Chloride,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
C0028908,C0043047,COEXISTS_WITH,Oils,Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0028908,C0303749,COEXISTS_WITH,Oils,Bleach,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0028910,C0043047,COEXISTS_WITH,"Oils, Volatile",Water,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0030776,C0055134,COEXISTS_WITH,Polyethylene Glycol 8000,cesium chloride,orch,inch,1,COEXISTS_WITH_ORCHcxwtINCH
C0031370,C0043047,COEXISTS_WITH,Phenanthrolines,Water,orch,inch,2,COEXISTS_WITH_ORCHcxwtINCH
