cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0036658,COEXISTS_WITH,Acclimatization,Esthesia,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0000934,C1511806,COEXISTS_WITH,Acclimatization,Developmental process,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0001811,C1258017,COEXISTS_WITH,Aging,Heart Contractility,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0001811,C1817756,COEXISTS_WITH,Aging,Immune System Processes,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C0005615,C0232164,COEXISTS_WITH,Birth,Cardiac function,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0005615,C1160389,COEXISTS_WITH,Birth,lung development,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0005823,C0232804,COEXISTS_WITH,Blood Pressure,Renal function,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0008810,C0231921,COEXISTS_WITH,Circadian Rhythms,Pulmonary function,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0014653,C0028877,COEXISTS_WITH,Equilibrium,Odontogenesis,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0014653,C0517349,COEXISTS_WITH,Equilibrium,Muscle Strength,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0018270,C0032173,COEXISTS_WITH,Growth,Platelet Activation,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0018270,C0035245,COEXISTS_WITH,Growth,Respiratory physiology,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0018270,C0231830,COEXISTS_WITH,Growth,Ciliary action,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0018270,C1511806,COEXISTS_WITH,Growth,Developmental process,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C0020966,C0282558,COEXISTS_WITH,Cellular Immunity,"Immunity, Mucosal",orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0026559,C1160389,COEXISTS_WITH,Morphogenesis,lung development,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C0032961,C0019010,COEXISTS_WITH,Pregnancy,Hemodynamics,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0032961,C0231921,COEXISTS_WITH,Pregnancy,Pulmonary function,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0033421,C0231940,COEXISTS_WITH,Pronation,Alveolar ventilation function,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0034011,C1817756,COEXISTS_WITH,Puberty,Immune System Processes,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0037817,C0004048,COEXISTS_WITH,Speech,Inspiration function,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C0037817,C0013936,COEXISTS_WITH,Speech,Embryonic Development,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0043064,C0017127,COEXISTS_WITH,Water-Electrolyte Balance,Gastric Emptying,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0043240,C0005974,COEXISTS_WITH,Wound Healing,Bone Resorption,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0043240,C0027793,COEXISTS_WITH,Wound Healing,Synaptic Transmission,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0043240,C1160389,COEXISTS_WITH,Wound Healing,lung development,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0232338,C0034057,COEXISTS_WITH,Blood flow,Pulmonary Circulation,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0232338,C0520866,COEXISTS_WITH,Blood flow,Ventricular systole,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0301872,C0036658,COEXISTS_WITH,Immune response,Esthesia,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0301872,C0282558,COEXISTS_WITH,Immune response,"Immunity, Mucosal",orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0301872,C1160389,COEXISTS_WITH,Immune response,lung development,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C0301872,C1720892,COEXISTS_WITH,Immune response,Digestive System Processes,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0678723,C0237858,COEXISTS_WITH,Biologic Development,gland secretion,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0678723,C1511806,COEXISTS_WITH,Biologic Development,Developmental process,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0678723,C1817756,COEXISTS_WITH,Biologic Development,Immune System Processes,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C0814002,C0013936,COEXISTS_WITH,Neurogenesis,Embryonic Development,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C0949236,C0019010,COEXISTS_WITH,Pulse Pressure,Hemodynamics,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C1155328,C0596138,COEXISTS_WITH,Antiviral Response,autocrine,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C1327413,C0162337,COEXISTS_WITH,cytokine production,Vascular Permeability,orgf,ortf,2,COEXISTS_WITH_ORGFcxwtORTF
C1516559,C0678860,COEXISTS_WITH,Circulatory Process,systemic blood circulation,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C1749719,C0036658,COEXISTS_WITH,Adaptive Immune Response,Esthesia,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C1749719,C0282558,COEXISTS_WITH,Adaptive Immune Response,"Immunity, Mucosal",orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C1819440,C0231921,COEXISTS_WITH,interleukin-13 production,Pulmonary function,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
C2610491,C1160389,COEXISTS_WITH,bone morphogenesis,lung development,orgf,ortf,1,COEXISTS_WITH_ORGFcxwtORTF
