cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020964,C0017262,COEXISTS_WITH,Immunity,Gene Expression,phsf,genf,2,COEXISTS_WITH_PHSFcxwtGENF
C0020964,C0017393,COEXISTS_WITH,Immunity,Genetic Markers,phsf,genf,2,COEXISTS_WITH_PHSFcxwtGENF
C0243144,C1511695,COEXISTS_WITH,Uptake,DNA Sequence Rearrangement,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1258192,C1519613,COEXISTS_WITH,Total Peripheral Resistance,Translation Initiation,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1321099,C0040649,COEXISTS_WITH,Activation function,"Transcription, Genetic",phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1371848,C1158817,COEXISTS_WITH,Decreased Protein Synthesis [PE],viral transcription,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1371848,C1519613,COEXISTS_WITH,Decreased Protein Synthesis [PE],Translation Initiation,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1512827,C0017262,COEXISTS_WITH,Interferon Signaling Process,Gene Expression,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1512827,C1171362,COEXISTS_WITH,Interferon Signaling Process,protein expression,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1514503,C0017262,COEXISTS_WITH,Prostaglandin Production,Gene Expression,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1514892,C0162735,COEXISTS_WITH,Resistance Process,Point Mutation,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C1514892,C1519323,COEXISTS_WITH,Resistance Process,Silent Mutation,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C2717801,C0026882,COEXISTS_WITH,Viral Tropism,Mutation,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
C3714584,C1519614,COEXISTS_WITH,"Transformation, function",Genetic Translation Process,phsf,genf,1,COEXISTS_WITH_PHSFcxwtGENF
