cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0035525,C0042720,COEXISTS_WITH,Ribavirin,Viral Genome,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C0358591,C1418850,COEXISTS_WITH,Proton Pump Inhibitors,PPP4C gene,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C0772162,C1538435,COEXISTS_WITH,AROMATICS,CANT1 gene,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C1443775,C0242984,COEXISTS_WITH,Epidermal growth factor receptor inhibitor (product),erbB1 Genes,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C1874451,C0042720,COEXISTS_WITH,Basis,Viral Genome,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C1874451,C1335144,COEXISTS_WITH,Basis,Orthologous Gene,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539125,C0017339,COEXISTS_WITH,other medicated shampoos in ATC,"Genes, Bacterial",phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539125,C0042720,COEXISTS_WITH,other medicated shampoos in ATC,Viral Genome,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539125,C0079941,COEXISTS_WITH,other medicated shampoos in ATC,Open Reading Frames,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539125,C0751608,COEXISTS_WITH,other medicated shampoos in ATC,cDNA Library,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539125,C1333197,COEXISTS_WITH,other medicated shampoos in ATC,Cytokine Receptor Gene,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539125,C1334043,COEXISTS_WITH,other medicated shampoos in ATC,Homologous Gene,phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
C3539957,C1449886,COEXISTS_WITH,opium alkaloids and derivative combination cough suppressants,"Adaptor Proteins, Signal Transducing",phsu,gngm,1,COEXISTS_WITH_PHSUcxwtGNGM
