cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0043047,COEXISTS_WITH,Acyclovir,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0003308,C0359299,COEXISTS_WITH,Antifungal Agents,sterile water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0003402,C0043047,COEXISTS_WITH,Antioxidants,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0006050,C0005367,COEXISTS_WITH,Botulinum Toxin Type A,Bicarbonates,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0011777,C0043047,COEXISTS_WITH,Dexamethasone,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0016360,C0359299,COEXISTS_WITH,Fluorouracil,sterile water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0035525,C0359299,COEXISTS_WITH,Ribavirin,sterile water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0037500,C0043047,COEXISTS_WITH,"Deoxycholic Acid, Monosodium Salt",Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0055447,C0043047,COEXISTS_WITH,chloroquine phosphate,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0063195,C0359299,COEXISTS_WITH,hydroxystilbamidine,sterile water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0071500,C0043047,COEXISTS_WITH,polyacrylamide gels,Water,phsu,inch,2,COEXISTS_WITH_PHSUcxwtINCH
C0077854,C0043047,COEXISTS_WITH,uranyl acetate,Water,phsu,inch,6,COEXISTS_WITH_PHSUcxwtINCH
C0162713,C0043047,COEXISTS_WITH,Photosensitizing Agents,Water,phsu,inch,2,COEXISTS_WITH_PHSUcxwtINCH
C0259849,C0359299,COEXISTS_WITH,Synthetic drug,sterile water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0309989,C3536832,COEXISTS_WITH,quantum,Air,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0598447,C0043047,COEXISTS_WITH,fluorophore,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0789987,C0043047,COEXISTS_WITH,Powdered Cellulose,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0949410,C0043047,COEXISTS_WITH,Puromycin Dihydrochloride,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C0991865,C0043047,COEXISTS_WITH,PHOSPHATE BUFFERS,Water,phsu,inch,2,COEXISTS_WITH_PHSUcxwtINCH
C1178459,C0043047,COEXISTS_WITH,Apple Cider Vinegar,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C3191774,C0043047,COEXISTS_WITH,Methanol Solution,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C3539125,C0043047,COEXISTS_WITH,other medicated shampoos in ATC,Water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
C3539125,C0790233,COEXISTS_WITH,other medicated shampoos in ATC,Distilled water,phsu,inch,1,COEXISTS_WITH_PHSUcxwtINCH
