cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003123,C0700148,COEXISTS_WITH,Anorexia,Congestion,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0010200,C0003578,COEXISTS_WITH,Coughing,Apnea,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0010520,C0003578,COEXISTS_WITH,Cyanosis,Apnea,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0012833,C0013604,COEXISTS_WITH,Dizziness,Edema,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0020672,C0006110,COEXISTS_WITH,"Hypothermia, natural",Brain Death,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0020672,C0036983,COEXISTS_WITH,"Hypothermia, natural",Septic Shock,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0028961,C0036983,COEXISTS_WITH,Oliguria,Septic Shock,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0030232,C0332448,COEXISTS_WITH,Pallor,Infiltration,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0030552,C3714514,COEXISTS_WITH,Paresis,Infection,sosy,patf,2,COEXISTS_WITH_SOSYcxwtPATF
C0037088,C0020517,COEXISTS_WITH,Signs and Symptoms,Hypersensitivity,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0037383,C0233315,COEXISTS_WITH,Sneezing,Premature birth of newborn,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0038002,C1520005,COEXISTS_WITH,Splenomegaly,Viral Pathogenesis,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0041834,C0221242,COEXISTS_WITH,Erythema,Fixed drug eruption,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0085631,C0013604,COEXISTS_WITH,Agitation,Edema,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0086439,C0032227,COEXISTS_WITH,Hypokinesia,Pleural effusion disorder,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0231835,C0032227,COEXISTS_WITH,Tachypnea,Pleural effusion disorder,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0231835,C0036983,COEXISTS_WITH,Tachypnea,Septic Shock,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0278140,C0021376,COEXISTS_WITH,Severe pain,Chronic inflammation,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0278140,C4061114,COEXISTS_WITH,Severe pain,Acute illness,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0476287,C0003578,COEXISTS_WITH,Breath-holding spell,Apnea,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
C0700590,C0015376,COEXISTS_WITH,Increased sweating,Extravasation,sosy,patf,1,COEXISTS_WITH_SOSYcxwtPATF
