cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000737,C0011991,COEXISTS_WITH,Abdominal Pain,Diarrhea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0085593,COEXISTS_WITH,Abdominal Pain,Chills,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0231528,COEXISTS_WITH,Abdominal Pain,Myalgia,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0426576,COEXISTS_WITH,Abdominal Pain,Gastrointestinal symptom,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003123,C0000737,COEXISTS_WITH,Anorexia,Abdominal Pain,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003123,C0011991,COEXISTS_WITH,Anorexia,Diarrhea,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0003123,C0037383,COEXISTS_WITH,Anorexia,Sneezing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003123,C0042963,COEXISTS_WITH,Anorexia,Vomiting,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0003123,C0239182,COEXISTS_WITH,Anorexia,Watery diarrhea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0008031,C0010200,COEXISTS_WITH,Chest Pain,Coughing,sosy,sosy,4,COEXISTS_WITH_SOSYcxwtSOSY
C0008031,C0037090,COEXISTS_WITH,Chest Pain,"Signs and Symptoms, Respiratory",sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0009812,C0037090,COEXISTS_WITH,Constitutional Symptom,"Signs and Symptoms, Respiratory",sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0010201,COEXISTS_WITH,Coughing,Chronic cough,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0018681,COEXISTS_WITH,Coughing,Headache,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0034642,COEXISTS_WITH,Coughing,Rales,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0037090,COEXISTS_WITH,Coughing,"Signs and Symptoms, Respiratory",sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0037383,COEXISTS_WITH,Coughing,Sneezing,sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0043144,COEXISTS_WITH,Coughing,Wheezing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0231528,COEXISTS_WITH,Coughing,Myalgia,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0231835,COEXISTS_WITH,Coughing,Tachypnea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C0392171,COEXISTS_WITH,Coughing,Influenza-like symptoms,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0010200,C1260880,COEXISTS_WITH,Coughing,Rhinorrhea,sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0003123,COEXISTS_WITH,Diarrhea,Anorexia,sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0015672,COEXISTS_WITH,Diarrhea,Fatigue,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0026825,COEXISTS_WITH,Diarrhea,Flaccid Muscle Tone,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0027497,COEXISTS_WITH,Diarrhea,Nausea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0037090,COEXISTS_WITH,Diarrhea,"Signs and Symptoms, Respiratory",sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0042963,COEXISTS_WITH,Diarrhea,Vomiting,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0231528,COEXISTS_WITH,Diarrhea,Myalgia,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0232487,COEXISTS_WITH,Diarrhea,Abdominal discomfort,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0426576,COEXISTS_WITH,Diarrhea,Gastrointestinal symptom,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C0920703,COEXISTS_WITH,Diarrhea,gastrointestinal sign,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0011991,C3714552,COEXISTS_WITH,Diarrhea,Weakness,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0010200,COEXISTS_WITH,Dyspnea,Coughing,sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0030193,COEXISTS_WITH,Dyspnea,Pain,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0037090,COEXISTS_WITH,Dyspnea,"Signs and Symptoms, Respiratory",sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0231835,COEXISTS_WITH,Dyspnea,Tachypnea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0277873,COEXISTS_WITH,Dyspnea,Nasal flaring,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0392171,COEXISTS_WITH,Dyspnea,Influenza-like symptoms,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0426576,COEXISTS_WITH,Dyspnea,Gastrointestinal symptom,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0553668,COEXISTS_WITH,Dyspnea,Labored breathing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0859032,COEXISTS_WITH,Dyspnea,moaning,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0013404,C0948288,COEXISTS_WITH,Dyspnea,Conjunctival discharge,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0015672,C0042963,COEXISTS_WITH,Fatigue,Vomiting,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0016204,C0010200,COEXISTS_WITH,Flatulence,Coughing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0016204,C0037383,COEXISTS_WITH,Flatulence,Sneezing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0018681,C0011991,COEXISTS_WITH,Headache,Diarrhea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0018681,C0030552,COEXISTS_WITH,Headache,Paresis,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0018681,C0392171,COEXISTS_WITH,Headache,Influenza-like symptoms,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0018681,C0497339,COEXISTS_WITH,Headache,Sneezing/nasal congestion,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0018681,C1260880,COEXISTS_WITH,Headache,Rhinorrhea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
