cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015683,C0039654,COMPARED_WITH,Fatty-acid synthase,Tetradecanoylphorbol Acetate,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C0025234,C0001963,COMPARED_WITH,Melitten,Methanol,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C0030946,C0014264,COMPARED_WITH,Endopeptidases,Endotoxins,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C0108801,C0076374,COMPARED_WITH,"TFRC protein, human",Thapsigargin,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C0753802,C0024334,COMPARED_WITH,"Neuro-Oncological Ventral Antigen 2, Human",Lysergic Acid Diethylamide,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C1172465,C0005052,COMPARED_WITH,"H2AX protein, human",Benzo(a)pyrene,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C1321919,C0007091,COMPARED_WITH,"TLR4 protein, human","Carcinogens, Environmental",aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C1413978,C0037366,COMPARED_WITH,DEFB4A gene,Smoke,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C1416797,C0599786,COMPARED_WITH,STMN1 gene,pollutant,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C1705280,C0039654,COMPARED_WITH,CDKN2A wt Allele,Tetradecanoylphorbol Acetate,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
C1823940,C0039654,COMPARED_WITH,ZER1 gene,Tetradecanoylphorbol Acetate,aapp,hops,1,COMPARED_WITH_AAPPcpwtHOPS
