cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000184,C0043047,COMPARED_WITH,"2',3'-Cyclic-Nucleotide Phosphodiesterases",Water,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C0003241,C0043491,COMPARED_WITH,Antibodies,Zinc Oxide,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C0008546,C3536832,COMPARED_WITH,Chromatin,Air,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C0010654,C0733770,COMPARED_WITH,Cysteine,Alhydrogel,aapp,inch,2,COMPARED_WITH_AAPPcpwtINCH
C0033164,C0037518,COMPARED_WITH,Prions,Sodium Hypochlorite,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C0120285,C0043047,COMPARED_WITH,Green Fluorescent Proteins,Water,aapp,inch,2,COMPARED_WITH_AAPPcpwtINCH
C0120285,C0051522,COMPARED_WITH,Green Fluorescent Proteins,aluminum sulfate,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C0168052,C0043491,COMPARED_WITH,zinc methionine,Zinc Oxide,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C0443640,C0043491,COMPARED_WITH,Specific antibody,Zinc Oxide,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C1417916,C0031603,COMPARED_WITH,OASL gene,Phosphates,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C1427539,C0008838,COMPARED_WITH,SLAMF7 gene,Cisplatin,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C1517683,C0142923,COMPARED_WITH,L-Selenomethionine,Sodium Selenite,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
C1883559,C0025552,COMPARED_WITH,Wild Type,Metals,aapp,inch,1,COMPARED_WITH_AAPPcpwtINCH
