cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0020960,COMPARED_WITH,Eicosapentaenoic Acid,Immune Sera,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0000545,C0021740,COMPARED_WITH,Eicosapentaenoic Acid,Recombinant Interferon-gamma,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0001461,C1427460,COMPARED_WITH,Adenosine Diphosphate Ribose,OARD1 gene,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0001468,C1610422,COMPARED_WITH,Adenosine Phosphosulfate,"ACE2 protein, human",bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0002607,C1415053,COMPARED_WITH,Ammonia,GGT1 gene,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0002520,COMPARED_WITH,Antigens,Amino Acids,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0003241,COMPARED_WITH,Antigens,Antibodies,bacs,aapp,3,COMPARED_WITH_BACScpwtAAPP
C0003320,C0003250,COMPARED_WITH,Antigens,Monoclonal Antibodies,bacs,aapp,2,COMPARED_WITH_BACScpwtAAPP
C0003320,C0010590,COMPARED_WITH,Antigens,Cycloserine,bacs,aapp,2,COMPARED_WITH_BACScpwtAAPP
C0003320,C0017645,COMPARED_WITH,Antigens,Globin,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0034861,COMPARED_WITH,Antigens,Recombinant Proteins,bacs,aapp,3,COMPARED_WITH_BACScpwtAAPP
C0003320,C0035544,COMPARED_WITH,Antigens,Ribonucleoproteins,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0042736,COMPARED_WITH,Antigens,Viral Proteins,bacs,aapp,2,COMPARED_WITH_BACScpwtAAPP
C0003320,C0065827,COMPARED_WITH,Antigens,Measles Virus Nucleoprotein,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0075278,COMPARED_WITH,Antigens,Streptavidin,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0162768,COMPARED_WITH,Antigens,Fusion protein,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0206527,COMPARED_WITH,Antigens,Superantigens,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0358321,COMPARED_WITH,Antigens,Immune Globulin (Human),bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0443640,COMPARED_WITH,Antigens,Specific antibody,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C0536221,COMPARED_WITH,Antigens,"HSD17B4 protein, human",bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
C0003320,C1332669,COMPARED_WITH,Antigens,CAV1 gene,bacs,aapp,1,COMPARED_WITH_BACScpwtAAPP
