cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017376,C0033755,COMPARED_WITH,"Genes, Viral",Proviruses,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0017429,C0012476,COMPARED_WITH,"Genome, Human",Dinucleoside Phosphates,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0017429,C0028630,COMPARED_WITH,"Genome, Human",Nucleotides,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0017429,C2982391,COMPARED_WITH,"Genome, Human",Long Intergenic Non-Protein Coding RNA,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0022959,C1514152,COMPARED_WITH,LacZ Genes,Plasmid Cloning Vector,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0079941,C0028630,COMPARED_WITH,Open Reading Frames,Nucleotides,gngm,nnon,4,COMPARED_WITH_GNGMcpwtNNON
C0079941,C0140652,COMPARED_WITH,Open Reading Frames,RNA II,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0079941,C1519595,COMPARED_WITH,Open Reading Frames,Transcript,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0085238,C0028630,COMPARED_WITH,"Genome, Bacterial",Nucleotides,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0206414,C1519595,COMPARED_WITH,"Genes, Reporter",Transcript,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0282641,C1519595,COMPARED_WITH,Transgenes,Transcript,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C0314604,C1519595,COMPARED_WITH,Human gene,Transcript,gngm,nnon,2,COMPARED_WITH_GNGMcpwtNNON
C1334043,C0028630,COMPARED_WITH,Homologous Gene,Nucleotides,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
C1414390,C0032413,COMPARED_WITH,ADGRE1 gene,Poly I,gngm,nnon,1,COMPARED_WITH_GNGMcpwtNNON
