cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0003320,COMPARED_WITH,Immunologic Adjuvants,Antigens,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0003316,C0003320,COMPARED_WITH,Epitopes,Antigens,imft,bacs,2,COMPARED_WITH_IMFTcpwtBACS
C0003316,C0041942,COMPARED_WITH,Epitopes,Urea,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0003316,C1764827,COMPARED_WITH,Epitopes,Isolate - microorganism,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0003445,C0040549,COMPARED_WITH,Antitoxins,Toxin,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0032375,C0003320,COMPARED_WITH,Oral Poliovirus Vaccine,Antigens,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0039620,C0003320,COMPARED_WITH,Tetanus Vaccine,Antigens,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0042210,C0003320,COMPARED_WITH,Vaccines,Antigens,imft,bacs,2,COMPARED_WITH_IMFTcpwtBACS
C0042210,C1764827,COMPARED_WITH,Vaccines,Isolate - microorganism,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0086413,C0012854,COMPARED_WITH,HIV Vaccine,DNA,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0301869,C1099354,COMPARED_WITH,Immunostimulating conjugate (antigen),"RNA, Small Interfering",imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0301871,C0012854,COMPARED_WITH,Immunoprecipitate,DNA,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0376613,C0012854,COMPARED_WITH,"Vaccines, DNA",DNA,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C0376613,C0032136,COMPARED_WITH,"Vaccines, DNA",Plasmids,imft,bacs,2,COMPARED_WITH_IMFTcpwtBACS
C1515333,C2350877,COMPARED_WITH,tetanus toxoid helper peptide,"Promoter, Genetic",imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C1519887,C0003320,COMPARED_WITH,Vaccine Antigen,Antigens,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C1883036,C0003320,COMPARED_WITH,Single-Chain Antibodies,Antigens,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
C1883036,C0040549,COMPARED_WITH,Single-Chain Antibodies,Toxin,imft,bacs,1,COMPARED_WITH_IMFTcpwtBACS
