cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0028630,C0002520,COMPARED_WITH,Nucleotides,Amino Acids,nnon,aapp,11,COMPARED_WITH_NNONcpwtAAPP
C0028630,C0025252,COMPARED_WITH,Nucleotides,Membrane Proteins,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028630,C0308550,COMPARED_WITH,Nucleotides,BRSV,nnon,aapp,2,COMPARED_WITH_NNONcpwtAAPP
C0028630,C0524816,COMPARED_WITH,Nucleotides,Nucleocapsid Proteins,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028630,C1419366,COMPARED_WITH,Nucleotides,RGN gene,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028630,C1538611,COMPARED_WITH,Nucleotides,PDIA6 gene,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028630,C1883559,COMPARED_WITH,Nucleotides,Wild Type,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028953,C0003250,COMPARED_WITH,Oligonucleotides,Monoclonal Antibodies,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028953,C0175168,COMPARED_WITH,Oligonucleotides,"Protein, Organized by Structure",nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0028953,C1869688,COMPARED_WITH,Oligonucleotides,TP10-PNA conjugate,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0035736,C0021740,COMPARED_WITH,"RNA, Viral",Recombinant Interferon-gamma,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0035736,C1305923,COMPARED_WITH,"RNA, Viral",Polypeptides,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0045143,C1864770,COMPARED_WITH,"2',5'-oligoadenylate",MAVS gene,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0047329,C0054757,COMPARED_WITH,3-deazaadenosine,carboxypeptidase H,nnon,aapp,1,COMPARED_WITH_NNONcpwtAAPP
C0050178,C0308550,COMPARED_WITH,buciclovir,BRSV,nnon,aapp,2,COMPARED_WITH_NNONcpwtAAPP
