cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001992,C0003320,COMPARED_WITH,Aldehydes,Antigens,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0002508,C1099354,COMPARED_WITH,Amines,"RNA, Small Interfering",orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0006945,C0019588,COMPARED_WITH,Carbachol,Histamine,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0008286,C1099354,COMPARED_WITH,Chlorpromazine,"RNA, Small Interfering",orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0011816,C1099354,COMPARED_WITH,Dextromethorphan,"RNA, Small Interfering",orch,bacs,2,COMPARED_WITH_ORCHcpwtBACS
C0012403,C0032081,COMPARED_WITH,Dimethyl Sulfoxide,Plant Extracts,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0012789,C0028606,COMPARED_WITH,Dithiothreitol,Nucleic Acids,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0017696,C0008141,COMPARED_WITH,Glucans,Chitin,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0022924,C0005390,COMPARED_WITH,Lactates,Bile Acids,orch,bacs,2,COMPARED_WITH_ORCHcpwtBACS
C0022924,C3824990,COMPARED_WITH,Lactates,Blood lactate,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0023779,C0012854,COMPARED_WITH,Lipids,DNA,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0023810,C0012854,COMPARED_WITH,Lipopolysaccharides,DNA,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0023810,C0056912,COMPARED_WITH,Lipopolysaccharides,cytidylyl-3'-5'-guanosine,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0023810,C1099354,COMPARED_WITH,Lipopolysaccharides,"RNA, Small Interfering",orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0023828,C0003320,COMPARED_WITH,Liposomes,Antigens,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0024727,C0012854,COMPARED_WITH,Mannans,DNA,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0032458,C0043335,COMPARED_WITH,"Polycyclic Hydrocarbons, Aromatic",Xenobiotics,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0032594,C0015684,COMPARED_WITH,Polysaccharides,Fatty Acids,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0032594,C0024742,COMPARED_WITH,Polysaccharides,Mannose,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0032594,C1568724,COMPARED_WITH,Polysaccharides,lycium barbarum polysaccharide,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0033563,C0027289,COMPARED_WITH,Prostaglandins G,NADH,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0036681,C0028606,COMPARED_WITH,Sepharose,Nucleic Acids,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
C0037025,C0018909,COMPARED_WITH,Sialic Acids,Hemagglutinin,orch,bacs,1,COMPARED_WITH_ORCHcpwtBACS
