cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002062,C0599473,COMPARED_WITH,Alkaloids,enantiomer,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0008196,C0596913,COMPARED_WITH,Chlorhexidine,Coordination Complexes,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0028908,C0014020,COMPARED_WITH,Oils,Emulsions,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0032486,C0032521,COMPARED_WITH,Polyethyleneimine,Polymers,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0053225,C1704241,COMPARED_WITH,Benzoic Acid,complex (molecular entity),orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0057753,C0597177,COMPARED_WITH,diazonaphthalenedisulfonic acid,Particle,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0066350,C0597177,COMPARED_WITH,methylene dimethanesulfonate,Particle,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C0162969,C0032521,COMPARED_WITH,Chitosan,Polymers,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C2350800,C0444626,COMPARED_WITH,PJ-34,Crystal Structure,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
C2926735,C0243072,COMPARED_WITH,Duration,derivatives,orch,chvs,1,COMPARED_WITH_ORCHcpwtCHVS
