cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C0043047,COMPARED_WITH,Ethanol,Water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0005026,C0008203,COMPARED_WITH,Benzalkonium Chloride,Chlorides,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0008196,C0043047,COMPARED_WITH,Chlorhexidine,Water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0012447,C0043047,COMPARED_WITH,Diminazene,Water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0022237,C0043047,COMPARED_WITH,Isopropyl Alcohol,Water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0023779,C0025552,COMPARED_WITH,Lipids,Metals,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0023779,C0178847,COMPARED_WITH,Lipids,silane,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0025872,C3536832,COMPARED_WITH,Metronidazole,Air,orch,inch,6,COMPARED_WITH_ORCHcpwtINCH
C0026156,C0043047,COMPARED_WITH,Mineral Oil,Water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0031701,C0038720,COMPARED_WITH,Phosphoric Acid Esters,"Sulfates, Inorganic",orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0032857,C0359299,COMPARED_WITH,Povidone-Iodine,sterile water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0044411,C0445115,COMPARED_WITH,1-hydroxymethylmidazolam,Normal saline,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0066776,C0475871,COMPARED_WITH,monophosphoryl lipid A,Aluminum salts,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0071599,C0002371,COMPARED_WITH,polylactic acid-polyglycolic acid copolymer,Aluminum Hydroxide,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0076840,C0013832,COMPARED_WITH,torsemide,Electrolytes,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0142785,C0036085,COMPARED_WITH,Sodium Acetate,"Saline Solution, Hypertonic",orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0281643,C0051522,COMPARED_WITH,incomplete Freund's adjuvant,aluminum sulfate,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C0635626,C0002371,COMPARED_WITH,trimethylaminocarboxyldihydroboran,Aluminum Hydroxide,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C1875574,C0043047,COMPARED_WITH,OIL/WATER,Water,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
C4044209,C0700307,COMPARED_WITH,diplacone,hydroxyl group,orch,inch,1,COMPARED_WITH_ORCHcpwtINCH
