cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002520,C0162326,CONVERTS_TO,Amino Acids,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0017360,C0162326,CONVERTS_TO,pol genes,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0022942,C0162326,CONVERTS_TO,Lactoferrin,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0024075,C0080089,CONVERTS_TO,Luciferases,Reading Frames (Nucleotide Sequence),aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0040623,C0162326,CONVERTS_TO,"tat Gene Products, Human Immunodeficiency Virus",DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0055817,C0162326,CONVERTS_TO,citrate carrier,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0072327,C0162326,CONVERTS_TO,protease IV,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C0120285,C0162326,CONVERTS_TO,Green Fluorescent Proteins,DNA Sequence,aapp,nusq,2,CONVERTS_TO_AAPPcvttNUSQ
C0582263,C0162326,CONVERTS_TO,Structural protein,DNA Sequence,aapp,nusq,2,CONVERTS_TO_AAPPcvttNUSQ
C0694878,C0162326,CONVERTS_TO,EXT1 gene,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C1415718,C0162326,CONVERTS_TO,HRC gene,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C1420192,C0162326,CONVERTS_TO,SLC3A2 gene,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C1423524,C0162326,CONVERTS_TO,NCKIPSD gene,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C1538005,C0162326,CONVERTS_TO,MT-TI gene,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C2717745,C0004793,CONVERTS_TO,Metagenome,Base Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
C3147110,C0162326,CONVERTS_TO,DSCAM-AS1 gene,DNA Sequence,aapp,nusq,1,CONVERTS_TO_AAPPcvttNUSQ
