cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002607,C0006948,CONVERTS_TO,Ammonia,Carbamates,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0005390,C0023779,CONVERTS_TO,Bile Acids,Lipids,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0008141,C0032594,CONVERTS_TO,Chitin,Polysaccharides,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0008141,C0162969,CONVERTS_TO,Chitin,Chitosan,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0008454,C0012611,CONVERTS_TO,Chondroitin,Disaccharides,bacs,orch,2,CONVERTS_TO_BACScvttORCH
C0011602,C0012611,CONVERTS_TO,Dermatan Sulfate,Disaccharides,bacs,orch,2,CONVERTS_TO_BACScvttORCH
C0012968,C4288292,CONVERTS_TO,Docosahexaenoic Acids,Resolvin,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0015684,C0022634,CONVERTS_TO,Fatty Acids,Ketones,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0017725,C0037688,CONVERTS_TO,Glucose,Sorbitol,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0027801,C0026492,CONVERTS_TO,Neuraminic acid,Monosaccharides,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0027801,C0037025,CONVERTS_TO,Neuraminic acid,Sialic Acids,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0032615,C1453711,CONVERTS_TO,Polyunsaturated Fatty Acids,protectin D1,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0032615,C4288292,CONVERTS_TO,Polyunsaturated Fatty Acids,Resolvin,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0032712,C0029252,CONVERTS_TO,Porphyrins,Organometallic Compounds,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0032712,C0076211,CONVERTS_TO,Porphyrins,tetra(4-N-methylpyridyl)porphine,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0034471,C0066772,CONVERTS_TO,R Factors,lysophosphatidic acid,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0037906,C0031701,CONVERTS_TO,Sphingomyelins,Phosphoric Acid Esters,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0038071,C0539441,CONVERTS_TO,Squalene,dammarenediol II,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0060656,C0017765,CONVERTS_TO,formononetin,Glucosides,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0061202,C0017765,CONVERTS_TO,Genistein,Glucosides,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0065739,C0002508,CONVERTS_TO,mastoparan,Amines,bacs,orch,1,CONVERTS_TO_BACScvttORCH
C0178845,C0073085,CONVERTS_TO,shikimate,resorcinol,bacs,orch,1,CONVERTS_TO_BACScvttORCH
