cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002062,C0039561,CONVERTS_TO,Alkaloids,Terpenes,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0023546,CONVERTS_TO,Arachidonic Acid,Leukotriene B4,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0048893,CONVERTS_TO,Arachidonic Acid,lipoxin A4,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0003695,C0599745,CONVERTS_TO,Arachidonic Acid,lipid mediator,orch,bacs,2,CONVERTS_TO_ORCHcvttBACS
C0006948,C0033607,CONVERTS_TO,Carbamates,Protease Inhibitors,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0006948,C0036733,CONVERTS_TO,Carbamates,Serine Proteinase Inhibitors,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0014963,C0010658,CONVERTS_TO,Ethacrynic Acid,Cysteine Proteinase Inhibitors,orch,bacs,2,CONVERTS_TO_ORCHcvttBACS
C0015688,C0001374,CONVERTS_TO,Nonesterified Fatty Acids,Acyl Coenzyme A,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0015688,C0001465,CONVERTS_TO,Nonesterified Fatty Acids,Adenosine Monophosphate,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0023779,C1101610,CONVERTS_TO,Lipids,MicroRNAs,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0024367,C0032615,CONVERTS_TO,Lysophospholipids,Polyunsaturated Fatty Acids,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0024367,C0599745,CONVERTS_TO,Lysophospholipids,lipid mediator,orch,bacs,3,CONVERTS_TO_ORCHcvttBACS
C0031716,C0010725,CONVERTS_TO,Phosphorylcholine,Citicoline,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0034140,C0018330,CONVERTS_TO,Purines,Guanosine,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0036311,C0009968,CONVERTS_TO,Schiff Bases,Copper,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0039315,C1101610,CONVERTS_TO,Tars,MicroRNAs,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0083271,C0054437,CONVERTS_TO,luteolin-7-glucoside,caffeoyl-coenzyme A,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0242209,C0038179,CONVERTS_TO,Sugars,Starch,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C0768581,C0035696,CONVERTS_TO,4-ethoxymethylene-2-phenyl-2-oxazoline-5-one,"RNA, Messenger",orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C2937289,C0032136,CONVERTS_TO,Adapt (substance),Plasmids,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C2937289,C1764827,CONVERTS_TO,Adapt (substance),Isolate - microorganism,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
C3465258,C1700987,CONVERTS_TO,Isatis tinctoria root extract,clemastanin B,orch,bacs,1,CONVERTS_TO_ORCHcvttBACS
