cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0024432,C0003962,DIAGNOSES,macrophage,Ascites,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C0039194,C0231337,DIAGNOSES,T-Lymphocyte,Senility,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C0039215,C1545588,DIAGNOSES,CD4 Positive T Lymphocytes,Protection,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C0042542,C0860803,DIAGNOSES,Vero Cells,glucose high,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C0440752,C4068286,DIAGNOSES,Inflammatory cell,b-wave amplitude,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C0598829,C4055506,DIAGNOSES,Madin Darby Canine Kidney Cells,Accumulation,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C0598829,C4321237,DIAGNOSES,Madin Darby Canine Kidney Cells,High Level,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C2936239,C1320226,DIAGNOSES,HEK293 Cells,Incubation period,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C3494245,C4055506,DIAGNOSES,Sf9 Cells,Accumulation,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
C4330475,C0332575,DIAGNOSES,Immune Cell,Redness,cell,fndg,1,DIAGNOSES_CELLdiagFNDG
