cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004398,C0025570,DIAGNOSES,Autopsy,Squamous metaplasia,diap,comd,2,DIAGNOSES_DIAPdiagCOMD
C0005558,C0334037,DIAGNOSES,Biopsy,Intestinal metaplasia,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0017195,C0334037,DIAGNOSES,Endoscopy of stomach,Intestinal metaplasia,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0032743,C0596402,DIAGNOSES,Positron-Emission Tomography,cytotoxicity,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0034606,C2985435,DIAGNOSES,Radionuclide Imaging,Founder Mutation,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0242890,C0596402,DIAGNOSES,Toxicity Tests,cytotoxicity,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0796358,C1705285,DIAGNOSES,comparative genomic analysis,Mutation Abnormality,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0852695,C0334037,DIAGNOSES,Biopsy of Mucosa,Intestinal metaplasia,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
C0860888,C0596402,DIAGNOSES,"Tomography, Spiral Computed",cytotoxicity,diap,comd,2,DIAGNOSES_DIAPdiagCOMD
C1964257,C0599732,DIAGNOSES,Observation - diagnostic procedure,cell injury,diap,comd,1,DIAGNOSES_DIAPdiagCOMD
