cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002978,C0027651,DIAGNOSES,angiogram,Neoplasms,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0004398,C0079772,DIAGNOSES,Autopsy,T-Cell Lymphoma,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0004398,C0343079,DIAGNOSES,Autopsy,"Milia, Multiple Eruptive",diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0004398,C1512694,DIAGNOSES,Autopsy,Increased Cellularity Present,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0005558,C0009402,DIAGNOSES,Biopsy,Colorectal Carcinoma,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0005558,C0024299,DIAGNOSES,Biopsy,Lymphoma,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0005558,C0024623,DIAGNOSES,Biopsy,Malignant neoplasm of stomach,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0005558,C0027651,DIAGNOSES,Biopsy,Neoplasms,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0011923,C0007113,DIAGNOSES,Diagnostic Imaging,Rectal Carcinoma,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0014245,C0006826,DIAGNOSES,Endoscopy (procedure),Malignant Neoplasms,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0014245,C0024623,DIAGNOSES,Endoscopy (procedure),Malignant neoplasm of stomach,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0017195,C0024623,DIAGNOSES,Endoscopy of stomach,Malignant neoplasm of stomach,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0017195,C0334044,DIAGNOSES,Endoscopy of stomach,Dysplasia,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0017195,C0349530,DIAGNOSES,Endoscopy of stomach,Early gastric cancer,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0024119,C0006826,DIAGNOSES,Pulmonary function tests,Malignant Neoplasms,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0024485,C0006826,DIAGNOSES,Magnetic Resonance Imaging,Malignant Neoplasms,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
C0024485,C0007113,DIAGNOSES,Magnetic Resonance Imaging,Rectal Carcinoma,diap,neop,1,DIAGNOSES_DIAPdiagNEOP
