cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004398,C0010825,DIAGNOSES,Autopsy,Cytomegalovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0004398,C0318855,DIAGNOSES,Autopsy,Porcine epidemic diarrhea virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0004398,C0597404,DIAGNOSES,Autopsy,Respiratory viruses,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0004398,C3698360,DIAGNOSES,Autopsy,Middle East Respiratory Syndrome Coronavirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011906,C0014644,DIAGNOSES,Differential Diagnosis,Epstein-Barr Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011906,C0318855,DIAGNOSES,Differential Diagnosis,Porcine epidemic diarrhea virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011906,C0597404,DIAGNOSES,Differential Diagnosis,Respiratory viruses,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011911,C0042776,DIAGNOSES,Laboratory Diagnosis,Virus,diap,virs,3,DIAGNOSES_DIAPdiagVIRS
C0011911,C0597404,DIAGNOSES,Laboratory Diagnosis,Respiratory viruses,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011923,C0206466,DIAGNOSES,Diagnostic Imaging,"Parvovirus, Canine",diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011930,C0318798,DIAGNOSES,"Diagnostic Tests, Routine","Paramyxovirus, NOS",diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0011930,C0949945,DIAGNOSES,"Diagnostic Tests, Routine",Foot-and-Mouth Disease Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0024485,C1079230,DIAGNOSES,Magnetic Resonance Imaging,Subgroup A Nepoviruses,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0030646,C0003725,DIAGNOSES,Patch Tests,Arboviruses,diap,virs,2,DIAGNOSES_DIAPdiagVIRS
C0034606,C3698360,DIAGNOSES,Radionuclide Imaging,Middle East Respiratory Syndrome Coronavirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0039985,C0014644,DIAGNOSES,Plain chest X-ray,Epstein-Barr Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0041618,C0042776,DIAGNOSES,Ultrasonography,Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0079835,C0042776,DIAGNOSES,"Microscopy, Immunoelectron",Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0086143,C0015767,DIAGNOSES,Diagnostic tests,Feline leukemia virus,diap,virs,2,DIAGNOSES_DIAPdiagVIRS
C0086143,C0029341,DIAGNOSES,Diagnostic tests,Orthomyxoviridae,diap,virs,2,DIAGNOSES_DIAPdiagVIRS
C0086143,C0029343,DIAGNOSES,Diagnostic tests,"Influenza A Virus, Avian",diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0086143,C0036238,DIAGNOSES,Diagnostic tests,Satellite Viruses,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0086143,C0042776,DIAGNOSES,Diagnostic tests,Virus,diap,virs,8,DIAGNOSES_DIAPdiagVIRS
C0086143,C0079337,DIAGNOSES,Diagnostic tests,Feline Immunodeficiency Virus,diap,virs,2,DIAGNOSES_DIAPdiagVIRS
C0086143,C0206545,DIAGNOSES,Diagnostic tests,Human respiratory syncytial virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0086143,C0318793,DIAGNOSES,Diagnostic tests,Zika Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0086143,C0318855,DIAGNOSES,Diagnostic tests,Porcine epidemic diarrhea virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0086143,C0597404,DIAGNOSES,Diagnostic tests,Respiratory viruses,diap,virs,3,DIAGNOSES_DIAPdiagVIRS
C0086143,C3698360,DIAGNOSES,Diagnostic tests,Middle East Respiratory Syndrome Coronavirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C0014383,DIAGNOSES,Polysomnography,Enterovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C0016515,DIAGNOSES,Polysomnography,Aphthovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C0206424,DIAGNOSES,Polysomnography,Cardiovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C0950102,DIAGNOSES,Polysomnography,Parechovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C1056473,DIAGNOSES,Polysomnography,Teschovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C1216700,DIAGNOSES,Polysomnography,Kobuvirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C2663633,DIAGNOSES,Polysomnography,Senecavirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0162701,C2803416,DIAGNOSES,Polysomnography,Sapelovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0199236,C0597404,DIAGNOSES,family investigation,Respiratory viruses,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0202823,C0206545,DIAGNOSES,Chest CT,Human respiratory syncytial virus,diap,virs,2,DIAGNOSES_DIAPdiagVIRS
C0203634,C0318855,DIAGNOSES,Nuclear medicine procedure,Porcine epidemic diarrhea virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0242890,C0019704,DIAGNOSES,Toxicity Tests,HIV-1,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0396352,C0014644,DIAGNOSES,Biopsy of nasopharynx,Epstein-Barr Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0396473,C0042338,DIAGNOSES,Bronchoscopic irrigation,Human herpesvirus 3,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0398523,C0019682,DIAGNOSES,Bone marrow aspiration procedure,HIV,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0419358,C0042776,DIAGNOSES,Exploration with a probe,Virus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0430022,C0004120,DIAGNOSES,diagnostic procedure,Astrovirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0430022,C0021344,DIAGNOSES,diagnostic procedure,Human Papillomavirus,diap,virs,2,DIAGNOSES_DIAPdiagVIRS
C0430022,C0029341,DIAGNOSES,diagnostic procedure,Orthomyxoviridae,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0430022,C0035870,DIAGNOSES,diagnostic procedure,Rotavirus,diap,virs,1,DIAGNOSES_DIAPdiagVIRS
C0430022,C0042776,DIAGNOSES,diagnostic procedure,Virus,diap,virs,3,DIAGNOSES_DIAPdiagVIRS
