cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005957,C0205160,DIAGNOSES,Bone Marrow Examination,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0005957,C0442797,DIAGNOSES,Bone Marrow Examination,Decreasing,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0007584,C0205160,DIAGNOSES,Cell Count,Negative,lbpr,qlco,2,DIAGNOSES_LBPRdiagQLCO
C0007584,C0332149,DIAGNOSES,Cell Count,Possible,lbpr,qlco,2,DIAGNOSES_LBPRdiagQLCO
C0007584,C0442797,DIAGNOSES,Cell Count,Decreasing,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0008813,C0332149,DIAGNOSES,Circular Dichroism,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0009555,C0205160,DIAGNOSES,Complete Blood Count,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0010818,C0332149,DIAGNOSES,Cytological Techniques,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0014441,C0184511,DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Improved,lbpr,qlco,2,DIAGNOSES_LBPRdiagQLCO
C0014441,C0205160,DIAGNOSES,Enzyme-Linked Immunosorbent Assay,Negative,lbpr,qlco,4,DIAGNOSES_LBPRdiagQLCO
C0016318,C0205160,DIAGNOSES,Fluorescent Antibody Technique,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0022885,C0205160,DIAGNOSES,Laboratory Procedures,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0022885,C0332149,DIAGNOSES,Laboratory Procedures,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0023508,C0162643,DIAGNOSES,White Blood Cell Count procedure,treatment failure,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0035269,C0332149,DIAGNOSES,Restriction Mapping,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0079240,C0205160,DIAGNOSES,Dilution technique,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0086231,C0205160,DIAGNOSES,Enzyme Immunoassay,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0162801,C0332149,DIAGNOSES,Sequence Analysis,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0200665,C0205160,DIAGNOSES,Platelet mean volume determination (procedure),Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0200931,C0184511,DIAGNOSES,Polymerase chain reaction analysis,Improved,lbpr,qlco,2,DIAGNOSES_LBPRdiagQLCO
C0242831,C0332149,DIAGNOSES,Epitope Mapping,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0337445,C0205160,DIAGNOSES,Thyroglobulin measurement,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0523176,C0205160,DIAGNOSES,Mycoplasma culture,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0683134,C0205160,DIAGNOSES,voltammetry,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0752248,C0332149,DIAGNOSES,Gene Expression Profiling,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C0949466,C0205160,DIAGNOSES,Western Blot,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1261478,C0442797,DIAGNOSES,Viral load measurement,Decreasing,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1262031,C0205160,DIAGNOSES,sputum test,Negative,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1441604,C0332219,DIAGNOSES,High sensitivity,Easy,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1441713,C0332219,DIAGNOSES,Quick method,Easy,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1449575,C0332149,DIAGNOSES,Microarray Analysis,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1510438,C0184511,DIAGNOSES,Assay,Improved,lbpr,qlco,2,DIAGNOSES_LBPRdiagQLCO
C1510438,C0205160,DIAGNOSES,Assay,Negative,lbpr,qlco,10,DIAGNOSES_LBPRdiagQLCO
C1510438,C0332149,DIAGNOSES,Assay,Possible,lbpr,qlco,3,DIAGNOSES_LBPRdiagQLCO
C1510438,C0442797,DIAGNOSES,Assay,Decreasing,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C1518598,C0332219,DIAGNOSES,Optical Methods,Easy,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C3146302,C0332149,DIAGNOSES,Mutagenesis Procedure,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
C4297010,C0332149,DIAGNOSES,Computational analysis,Possible,lbpr,qlco,1,DIAGNOSES_LBPRdiagQLCO
