cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005971,C0014383,DIAGNOSES,Bone plates,Enterovirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0005971,C0035473,DIAGNOSES,Bone plates,Rhinovirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0008034,C0042776,DIAGNOSES,Chest Tubes,Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0017108,C0949892,DIAGNOSES,Gas Scavengers,Ebolavirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0021102,C0042776,DIAGNOSES,Implants,Virus,medd,virs,2,DIAGNOSES_MEDDdiagVIRS
C0024861,C0042776,DIAGNOSES,Masks,Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0040661,C0318711,DIAGNOSES,Transducers,Human rotavirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0085104,C0019704,DIAGNOSES,Drug Delivery Systems,HIV-1,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0085104,C0042776,DIAGNOSES,Drug Delivery Systems,Virus,medd,virs,2,DIAGNOSES_MEDDdiagVIRS
C0175723,C0597363,DIAGNOSES,Bands,recombinant virus,medd,virs,2,DIAGNOSES_MEDDdiagVIRS
C0175723,C0949892,DIAGNOSES,Bands,Ebolavirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0175727,C0029341,DIAGNOSES,Stimulator,Orthomyxoviridae,medd,virs,2,DIAGNOSES_MEDDdiagVIRS
C0175727,C0042776,DIAGNOSES,Stimulator,Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0175727,C0318739,DIAGNOSES,Stimulator,Middelburg virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0175727,C0376536,DIAGNOSES,Stimulator,Porcine respiratory and reproductive syndrome virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0175727,C0597404,DIAGNOSES,Stimulator,Respiratory viruses,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0175730,C0949945,DIAGNOSES,biomedical tube device,Foot-and-Mouth Disease Virus,medd,virs,2,DIAGNOSES_MEDDdiagVIRS
C0178959,C1175743,DIAGNOSES,ADAPTER,SARS coronavirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179038,C0011315,DIAGNOSES,"Analyzer, device",Dengue Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179038,C0012755,DIAGNOSES,"Analyzer, device","Distemper Virus, Canine",medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179038,C0597404,DIAGNOSES,"Analyzer, device",Respiratory viruses,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179302,C0004651,DIAGNOSES,"Binder, device",Bacteriophages,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179533,C0042776,DIAGNOSES,"Camera, device",Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179834,C0021344,DIAGNOSES,Centrifuges (device),Human Papillomavirus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0179834,C0042776,DIAGNOSES,Centrifuges (device),Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0180279,C0206545,DIAGNOSES,automated flow cytometers,Human respiratory syncytial virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0180979,C0035691,DIAGNOSES,Frame (physical object),RNA Viruses,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0180979,C0042776,DIAGNOSES,Frame (physical object),Virus,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
C0181687,C0031886,DIAGNOSES,loops,Family Picornaviridae,medd,virs,1,DIAGNOSES_MEDDdiagVIRS
