cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001473,C0225336,DISRUPTS,Adenosine Triphosphatases,Endothelial Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0001473,C0225698,DISRUPTS,Adenosine Triphosphatases,Alveolar Epithelial Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0001643,C0014792,DISRUPTS,beta-2 Adrenergic Receptors,Erythrocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0001924,C0014597,DISRUPTS,Albumins,Epithelial Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003241,C0004561,DISRUPTS,Antibodies,B-Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003241,C0014792,DISRUPTS,Antibodies,Erythrocytes,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0003241,C0032112,DISRUPTS,Antibodies,Plasma Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003241,C0221284,DISRUPTS,Antibodies,Leptocyte,aapp,cell,3,DISRUPTS_AAPPdrptCELL
C0003241,C1513095,DISRUPTS,Antibodies,Melanoma Cell,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003242,C0027950,DISRUPTS,"Antibodies, Anti-Idiotypic",neutrophil,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003250,C0022688,DISRUPTS,Monoclonal Antibodies,Natural Killer Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003250,C0027950,DISRUPTS,Monoclonal Antibodies,neutrophil,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003250,C0039194,DISRUPTS,Monoclonal Antibodies,T-Lymphocyte,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0003250,C0334227,DISRUPTS,Monoclonal Antibodies,"Tumor cells, malignant",aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003593,C0022801,DISRUPTS,Apolipoproteins B,Hepatic macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003593,C0227525,DISRUPTS,Apolipoproteins B,Hepatocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0003762,C0039194,DISRUPTS,ARGINASE,T-Lymphocyte,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0008145,C0024432,DISRUPTS,Chitinases,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0009498,C0221284,DISRUPTS,Complement System Proteins,Leptocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0010590,C0039195,DISRUPTS,Cycloserine,Cytotoxic T-Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0010590,C1267822,DISRUPTS,Cycloserine,CD4+ CD25+ Regulatory T Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0010590,C3641722,DISRUPTS,Cycloserine,Effector T-Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0010592,C0039194,DISRUPTS,Cyclosporine,T-Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0010654,C0039194,DISRUPTS,Cysteine,T-Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0014063,C0028944,DISRUPTS,Myelin Basic Proteins,Oligodendroglia,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0015980,C0024432,DISRUPTS,Interferon-beta,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0015980,C0206190,DISRUPTS,Interferon-beta,"Macrophages, Peritoneal",aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0017626,C0004112,DISRUPTS,Glial Fibrillary Acidic Protein,Astrocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0017757,C1180059,DISRUPTS,Glucosephosphate Dehydrogenase,Nucleated cell,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0017757,C4277577,DISRUPTS,Glucosephosphate Dehydrogenase,A549 Cells,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0019475,C0024432,DISRUPTS,Hexokinase 2,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0019643,C0334227,DISRUPTS,Histone Deacetylase,"Tumor cells, malignant",aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0020960,C0004561,DISRUPTS,Immune Sera,B-Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021699,C0015161,DISRUPTS,Integral Membrane Proteins,Eukaryotic Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021701,C0225700,DISRUPTS,Integrins,Type-II Pneumocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021747,C0011306,DISRUPTS,Interferons,Dendritic Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021747,C4277577,DISRUPTS,Interferons,A549 Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021755,C0024432,DISRUPTS,Interleukin-1,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021755,C0026473,DISRUPTS,Interleukin-1,Monocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021756,C0022688,DISRUPTS,Interleukin-2,Natural Killer Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021756,C1321301,DISRUPTS,Interleukin-2,Peripheral blood mononuclear cell (cell),aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021758,C0028944,DISRUPTS,Interleukin-4,Oligodendroglia,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021758,C0039194,DISRUPTS,Interleukin-4,T-Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021758,C0039195,DISRUPTS,Interleukin-4,Cytotoxic T-Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021758,C0039215,DISRUPTS,Interleukin-4,CD4 Positive T Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021758,C1519477,DISRUPTS,Interleukin-4,Splenocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021758,C4330475,DISRUPTS,Interleukin-4,Immune Cell,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C0004112,DISRUPTS,Interleukin-6,Astrocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C0022688,DISRUPTS,Interleukin-6,Natural Killer Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C0024432,DISRUPTS,Interleukin-6,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C0027836,DISRUPTS,Interleukin-6,Neuroglia,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C0039194,DISRUPTS,Interleukin-6,T-Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C1267822,DISRUPTS,Interleukin-6,CD4+ CD25+ Regulatory T Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0021760,C4277577,DISRUPTS,Interleukin-6,A549 Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0023206,C0682523,DISRUPTS,Lectin,human cell line,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0023206,C0883208,DISRUPTS,Lectin,Lymphoma cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0023816,C1512944,DISRUPTS,LIPOPROTEIN LIPASE,Intraepithelial Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0025250,C0016030,DISRUPTS,Neprilysin,Fibroblasts,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0025252,C0027950,DISRUPTS,Membrane Proteins,neutrophil,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0026682,C0596030,DISRUPTS,Mucins,Acinar Cell,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0026972,C0024432,DISRUPTS,Myelin Proteins,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0029923,C0242632,DISRUPTS,Ovalbumin,T-helper cell type 1,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0034790,C0334227,DISRUPTS,T-Cell Receptor,"Tumor cells, malignant",aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0035678,C0016030,DISRUPTS,RNA Polymerase I,Fibroblasts,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0040691,C0014597,DISRUPTS,Transforming Growth Factors,Epithelial Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0040691,C0022688,DISRUPTS,Transforming Growth Factors,Natural Killer Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0040691,C0039194,DISRUPTS,Transforming Growth Factors,T-Lymphocyte,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0040691,C0039195,DISRUPTS,Transforming Growth Factors,Cytotoxic T-Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0042666,C0024432,DISRUPTS,Vimentin,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0052128,C0026473,DISRUPTS,antithrombin III-protease complex,Monocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0052350,C0007600,DISRUPTS,arginyl-glycyl-aspartic acid,Cultured Cell Line,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0054455,C0029431,DISRUPTS,Calcitonin Receptor,Osteoclasts,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0054757,C0042542,DISRUPTS,carboxypeptidase H,Vero Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0054757,C0598829,DISRUPTS,carboxypeptidase H,Madin Darby Canine Kidney Cells,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0054871,C0334227,DISRUPTS,Cathepsin L,"Tumor cells, malignant",aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0058988,C1518174,DISRUPTS,Eukaryotic Initiation Factor-4E,Malignant Epithelial Cell,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0061355,C0024264,DISRUPTS,Glucagon-Like Peptide 1,Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0061878,C0039194,DISRUPTS,granzyme B,T-Lymphocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0061878,C3897252,DISRUPTS,granzyme B,Umbilical Cord Blood-derived Natural Killer Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0061878,C4527316,DISRUPTS,granzyme B,Chimeric Antigen Receptor T-cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0063710,C0027950,DISRUPTS,"Receptors, Interleukin-1",neutrophil,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0069580,C1512035,DISRUPTS,Rod Opsins,Dopaminergic Neurons,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0070410,C0221284,DISRUPTS,perforin,Leptocyte,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0071795,C0024432,DISRUPTS,2-5A-dependent ribonuclease,macrophage,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0072354,C0242598,DISRUPTS,Protein Disulfide-Isomerases,LLC-PK1 Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0073240,C0007600,DISRUPTS,Ribonuclease III,Cultured Cell Line,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0079189,C0003315,DISRUPTS,cytokine,Antigen-Presenting Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0079189,C0004561,DISRUPTS,cytokine,B-Lymphocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0079189,C0024432,DISRUPTS,cytokine,macrophage,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0079189,C0026473,DISRUPTS,cytokine,Monocytes,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0079189,C0039194,DISRUPTS,cytokine,T-Lymphocyte,aapp,cell,2,DISRUPTS_AAPPdrptCELL
C0079189,C0242632,DISRUPTS,cytokine,T-helper cell type 1,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0079189,C4042840,DISRUPTS,cytokine,RAW 264.7 Cells,aapp,cell,1,DISRUPTS_AAPPdrptCELL
C0079189,C4330475,DISRUPTS,cytokine,Immune Cell,aapp,cell,1,DISRUPTS_AAPPdrptCELL
